"Bench","Routing","Selection","ACO Selection Alpha","Reinforcement Factor","Algorithm","Max Cycles","Simulation Time (Seconds)","Throughput","Average Packet Delay","Payload Throughput","Average Payload Packet Delay"
"blackscholes","OddEven","BufferLevel","0.5","0.05","OddEven+BufferLevel","10000","0.271335084","0.0002140625","52.284671532846716","0.0002140625","52.284671532846716"
"blackscholes","OddEven","ACO","0.3","0.0005","OddEven+ACO(0.3, 0.0005)","10000","0.558881278","0.0006171875","40.76455696202532","0.0002578125","52.17575757575757"
"blackscholes","OddEven","ACO","0.3","0.004","OddEven+ACO(0.3, 0.004)","10000","0.528669299","0.0006171875","40.76455696202532","0.0002578125","52.17575757575757"
"blackscholes","OddEven","ACO","0.3","0.032","OddEven+ACO(0.3, 0.032)","10000","0.504197926","0.0006171875","40.76455696202532","0.0002578125","52.17575757575757"
"blackscholes","OddEven","ACO","0.45","0.0005","OddEven+ACO(0.45, 0.0005)","10000","0.406955986","0.0006171875","40.76455696202532","0.0002578125","52.17575757575757"
"blackscholes","OddEven","ACO","0.45","0.004","OddEven+ACO(0.45, 0.004)","10000","0.51621998","0.0006171875","40.76455696202532","0.0002578125","52.17575757575757"
"blackscholes","OddEven","ACO","0.45","0.032","OddEven+ACO(0.45, 0.032)","10000","0.579579553","0.0006171875","40.76455696202532","0.0002578125","52.17575757575757"
"blackscholes","OddEven","ACO","0.6","0.0005","OddEven+ACO(0.6, 0.0005)","10000","0.590460905","0.0006171875","40.76455696202532","0.0002578125","52.17575757575757"
"blackscholes","OddEven","ACO","0.6","0.004","OddEven+ACO(0.6, 0.004)","10000","0.391872021","0.0006171875","40.76455696202532","0.0002578125","52.17575757575757"
"blackscholes","OddEven","ACO","0.6","0.032","OddEven+ACO(0.6, 0.032)","10000","0.480389278","0.0006171875","40.76455696202532","0.0002578125","52.17575757575757"
"bodytrack","OddEven","BufferLevel","0.5","0.05","OddEven+BufferLevel","10000","0.279679045","0.0002296875","46.61224489795919","0.0002296875","46.61224489795919"
"bodytrack","OddEven","ACO","0.3","0.0005","OddEven+ACO(0.3, 0.0005)","10000","0.548048155","0.0006171875","38.3873417721519","0.0002578125","46.47878787878788"
"bodytrack","OddEven","ACO","0.3","0.004","OddEven+ACO(0.3, 0.004)","10000","0.393150073","0.0006171875","38.3873417721519","0.0002578125","46.47878787878788"
"bodytrack","OddEven","ACO","0.3","0.032","OddEven+ACO(0.3, 0.032)","10000","0.610069943","0.0006171875","38.3873417721519","0.0002578125","46.47878787878788"
"bodytrack","OddEven","ACO","0.45","0.0005","OddEven+ACO(0.45, 0.0005)","10000","0.423915182","0.0006171875","38.3873417721519","0.0002578125","46.47878787878788"
"bodytrack","OddEven","ACO","0.45","0.004","OddEven+ACO(0.45, 0.004)","10000","0.571733941","0.0006171875","38.3873417721519","0.0002578125","46.47878787878788"
"bodytrack","OddEven","ACO","0.45","0.032","OddEven+ACO(0.45, 0.032)","10000","0.558590015","0.0006171875","38.3873417721519","0.0002578125","46.47878787878788"
"bodytrack","OddEven","ACO","0.6","0.0005","OddEven+ACO(0.6, 0.0005)","10000","0.446575277","0.0006171875","38.3873417721519","0.0002578125","46.47878787878788"
"bodytrack","OddEven","ACO","0.6","0.004","OddEven+ACO(0.6, 0.004)","10000","0.334054777","0.0006171875","38.3873417721519","0.0002578125","46.47878787878788"
"bodytrack","OddEven","ACO","0.6","0.032","OddEven+ACO(0.6, 0.032)","10000","0.60151756","0.0006171875","38.3873417721519","0.0002578125","46.47878787878788"
"canneal","OddEven","BufferLevel","0.5","0.05","OddEven+BufferLevel","10000","0.342948082","0.0002140625","52.284671532846716","0.0002140625","52.284671532846716"
"canneal","OddEven","ACO","0.3","0.0005","OddEven+ACO(0.3, 0.0005)","10000","0.419414238","0.0006171875","40.76455696202532","0.0002578125","52.17575757575757"
"canneal","OddEven","ACO","0.3","0.004","OddEven+ACO(0.3, 0.004)","10000","0.544747554","0.0006171875","40.76455696202532","0.0002578125","52.17575757575757"
"canneal","OddEven","ACO","0.3","0.032","OddEven+ACO(0.3, 0.032)","10000","0.437245541","0.0006171875","40.76455696202532","0.0002578125","52.17575757575757"
"canneal","OddEven","ACO","0.45","0.0005","OddEven+ACO(0.45, 0.0005)","10000","0.670241449","0.0006171875","40.76455696202532","0.0002578125","52.17575757575757"
"canneal","OddEven","ACO","0.45","0.004","OddEven+ACO(0.45, 0.004)","10000","0.499015009","0.0006171875","40.76455696202532","0.0002578125","52.17575757575757"
"canneal","OddEven","ACO","0.45","0.032","OddEven+ACO(0.45, 0.032)","10000","0.631732325","0.0006171875","40.76455696202532","0.0002578125","52.17575757575757"
"canneal","OddEven","ACO","0.6","0.0005","OddEven+ACO(0.6, 0.0005)","10000","0.462520077","0.0006171875","40.76455696202532","0.0002578125","52.17575757575757"
"canneal","OddEven","ACO","0.6","0.004","OddEven+ACO(0.6, 0.004)","10000","0.417811785","0.0006171875","40.76455696202532","0.0002578125","52.17575757575757"
"canneal","OddEven","ACO","0.6","0.032","OddEven+ACO(0.6, 0.032)","10000","0.47150252","0.0006171875","40.76455696202532","0.0002578125","52.17575757575757"
"fluidanimate","OddEven","BufferLevel","0.5","0.05","OddEven+BufferLevel","10000","0.291077412","0.000225","51.326388888888886","0.000225","51.326388888888886"
"fluidanimate","OddEven","ACO","0.3","0.0005","OddEven+ACO(0.3, 0.0005)","10000","0.426793843","0.0006171875","40.369620253164555","0.0002578125","51.23030303030303"
"fluidanimate","OddEven","ACO","0.3","0.004","OddEven+ACO(0.3, 0.004)","10000","0.536919645","0.0006171875","40.369620253164555","0.0002578125","51.23030303030303"
"fluidanimate","OddEven","ACO","0.3","0.032","OddEven+ACO(0.3, 0.032)","10000","0.448537553","0.0006171875","40.369620253164555","0.0002578125","51.23030303030303"
"fluidanimate","OddEven","ACO","0.45","0.0005","OddEven+ACO(0.45, 0.0005)","10000","0.379792885","0.0006171875","40.369620253164555","0.0002578125","51.23030303030303"
"fluidanimate","OddEven","ACO","0.45","0.004","OddEven+ACO(0.45, 0.004)","10000","0.482419005","0.0006171875","40.369620253164555","0.0002578125","51.23030303030303"
"fluidanimate","OddEven","ACO","0.45","0.032","OddEven+ACO(0.45, 0.032)","10000","0.414148428","0.0006171875","40.369620253164555","0.0002578125","51.23030303030303"
"fluidanimate","OddEven","ACO","0.6","0.0005","OddEven+ACO(0.6, 0.0005)","10000","0.43680954","0.0006171875","40.369620253164555","0.0002578125","51.23030303030303"
"fluidanimate","OddEven","ACO","0.6","0.004","OddEven+ACO(0.6, 0.004)","10000","0.45239488","0.0006171875","40.369620253164555","0.0002578125","51.23030303030303"
"fluidanimate","OddEven","ACO","0.6","0.032","OddEven+ACO(0.6, 0.032)","10000","0.401459078","0.0006171875","40.369620253164555","0.0002578125","51.23030303030303"
"freqmine","OddEven","BufferLevel","0.5","0.05","OddEven+BufferLevel","10000","0.459142269","0.000225","51.53472222222222","0.000225","51.53472222222222"
"freqmine","OddEven","ACO","0.3","0.0005","OddEven+ACO(0.3, 0.0005)","10000","0.447735569","0.0006171875","40.43037974683544","0.0002578125","51.375757575757575"
"freqmine","OddEven","ACO","0.3","0.004","OddEven+ACO(0.3, 0.004)","10000","0.483374931","0.0006171875","40.43037974683544","0.0002578125","51.375757575757575"
"freqmine","OddEven","ACO","0.3","0.032","OddEven+ACO(0.3, 0.032)","10000","0.566764565","0.0006171875","40.43037974683544","0.0002578125","51.375757575757575"
"freqmine","OddEven","ACO","0.45","0.0005","OddEven+ACO(0.45, 0.0005)","10000","0.44457944","0.0006171875","40.43037974683544","0.0002578125","51.375757575757575"
"freqmine","OddEven","ACO","0.45","0.004","OddEven+ACO(0.45, 0.004)","10000","0.755897525","0.0006171875","40.43037974683544","0.0002578125","51.375757575757575"
"freqmine","OddEven","ACO","0.45","0.032","OddEven+ACO(0.45, 0.032)","10000","0.577754379","0.0006171875","40.43037974683544","0.0002578125","51.375757575757575"
"freqmine","OddEven","ACO","0.6","0.0005","OddEven+ACO(0.6, 0.0005)","10000","0.657971055","0.0006171875","40.43037974683544","0.0002578125","51.375757575757575"
"freqmine","OddEven","ACO","0.6","0.004","OddEven+ACO(0.6, 0.004)","10000","0.566920195","0.0006171875","40.43037974683544","0.0002578125","51.375757575757575"
"freqmine","OddEven","ACO","0.6","0.032","OddEven+ACO(0.6, 0.032)","10000","0.750254555","0.0006171875","40.43037974683544","0.0002578125","51.375757575757575"
"streamcluster","OddEven","BufferLevel","0.5","0.05","OddEven+BufferLevel","10000","0.266033931","0.000221875","47.316901408450704","0.000221875","47.316901408450704"
"streamcluster","OddEven","ACO","0.3","0.0005","OddEven+ACO(0.3, 0.0005)","10000","0.436765188","0.0006171875","38.675949367088606","0.0002578125","47.17575757575757"
"streamcluster","OddEven","ACO","0.3","0.004","OddEven+ACO(0.3, 0.004)","10000","0.414363945","0.0006171875","38.675949367088606","0.0002578125","47.17575757575757"
"streamcluster","OddEven","ACO","0.3","0.032","OddEven+ACO(0.3, 0.032)","10000","0.432812493","0.0006171875","38.675949367088606","0.0002578125","47.17575757575757"
"streamcluster","OddEven","ACO","0.45","0.0005","OddEven+ACO(0.45, 0.0005)","10000","0.393044385","0.0006171875","38.675949367088606","0.0002578125","47.17575757575757"
"streamcluster","OddEven","ACO","0.45","0.004","OddEven+ACO(0.45, 0.004)","10000","0.585410401","0.0006171875","38.675949367088606","0.0002578125","47.17575757575757"
"streamcluster","OddEven","ACO","0.45","0.032","OddEven+ACO(0.45, 0.032)","10000","0.44076117","0.0006171875","38.675949367088606","0.0002578125","47.17575757575757"
"streamcluster","OddEven","ACO","0.6","0.0005","OddEven+ACO(0.6, 0.0005)","10000","0.381049006","0.0006171875","38.675949367088606","0.0002578125","47.17575757575757"
"streamcluster","OddEven","ACO","0.6","0.004","OddEven+ACO(0.6, 0.004)","10000","0.347911676","0.0006171875","38.675949367088606","0.0002578125","47.17575757575757"
"streamcluster","OddEven","ACO","0.6","0.032","OddEven+ACO(0.6, 0.032)","10000","0.395809814","0.0006171875","38.675949367088606","0.0002578125","47.17575757575757"
"x264","OddEven","BufferLevel","0.5","0.05","OddEven+BufferLevel","10000","0.146040098","0.0002140625","52.284671532846716","0.0002140625","52.284671532846716"
"x264","OddEven","ACO","0.3","0.0005","OddEven+ACO(0.3, 0.0005)","10000","0.308143221","0.0006171875","40.76455696202532","0.0002578125","52.17575757575757"
"x264","OddEven","ACO","0.3","0.004","OddEven+ACO(0.3, 0.004)","10000","0.339158889","0.0006171875","40.76455696202532","0.0002578125","52.17575757575757"
