"Bench","Routing","Selection","Data Packet Injection Rate","ACO Selection Alpha","Reinforcement Factor","Algorithm","Max Cycles","Simulation Time (Seconds)","Throughput","Average Packet Delay","Payload Throughput","Average Payload Packet Delay"
"blackscholes","OddEven","BufferLevel","0.2","0.5","0.05","OddEven+BufferLevel","100000","8.615680293","0.00313328125","57.99271929387124","0.00313328125","57.99271929387124"
"blackscholes","OddEven","ACO","0.2","0.3","0.0005","OddEven+ACO(0.3, 0.0005)","100000","9.441169037","0.003515625","54.92702222222222","0.00312796875","57.656476347469905"
"blackscholes","OddEven","ACO","0.2","0.3","0.002","OddEven+ACO(0.3, 0.002)","100000","9.083585676","0.003515625","54.92706666666667","0.00312796875","57.656476347469905"
"blackscholes","OddEven","ACO","0.2","0.3","0.008","OddEven+ACO(0.3, 0.008)","100000","9.763770617","0.003515625","54.92715555555556","0.00312796875","57.656726110195315"
"blackscholes","OddEven","ACO","0.2","0.3","0.032","OddEven+ACO(0.3, 0.032)","100000","9.806378832","0.003515625","54.931511111111114","0.00312796875","57.66132174434287"
"blackscholes","OddEven","ACO","0.2","0.4","0.0005","OddEven+ACO(0.4, 0.0005)","100000","9.392541319","0.003515625","54.9272","0.00312796875","57.656726110195315"
"blackscholes","OddEven","ACO","0.2","0.4","0.002","OddEven+ACO(0.4, 0.002)","100000","9.486189146","0.003515625","54.92715555555556","0.00312796875","57.656726110195315"
"blackscholes","OddEven","ACO","0.2","0.4","0.008","OddEven+ACO(0.4, 0.008)","100000","8.588492163","0.003515625","54.92715555555556","0.00312796875","57.656726110195315"
"blackscholes","OddEven","ACO","0.2","0.4","0.032","OddEven+ACO(0.4, 0.032)","100000","8.361150326","0.003515625","54.92342222222222","0.00312796875","57.652430191318246"
"blackscholes","OddEven","ACO","0.2","0.5","0.0005","OddEven+ACO(0.5, 0.0005)","100000","8.346449283","0.003515625","54.92724444444445","0.00312796875","57.656726110195315"
"blackscholes","OddEven","ACO","0.2","0.5","0.002","OddEven+ACO(0.5, 0.002)","100000","9.169589631","0.003515625","54.92697777777778","0.00312796875","57.656476347469905"
"blackscholes","OddEven","ACO","0.2","0.5","0.008","OddEven+ACO(0.5, 0.008)","100000","8.92226818","0.003515625","54.92715555555556","0.00312796875","57.656726110195315"
"blackscholes","OddEven","ACO","0.2","0.5","0.032","OddEven+ACO(0.5, 0.032)","100000","8.375271226","0.003515625","54.92102222222222","0.00312796875","57.64973275388381"
"blackscholes","OddEven","ACO","0.2","0.6","0.0005","OddEven+ACO(0.6, 0.0005)","100000","9.20999991","0.003515625","54.92715555555556","0.00312796875","57.656726110195315"
"blackscholes","OddEven","ACO","0.2","0.6","0.002","OddEven+ACO(0.6, 0.002)","100000","10.489888978","0.003515625","54.92715555555556","0.00312796875","57.656726110195315"
"blackscholes","OddEven","ACO","0.2","0.6","0.008","OddEven+ACO(0.6, 0.008)","100000","8.683873965","0.003515625","54.9272","0.00312796875","57.656726110195315"
"blackscholes","OddEven","ACO","0.2","0.6","0.032","OddEven+ACO(0.6, 0.032)","100000","8.588368479","0.003515625","54.92115555555556","0.00312796875","57.64998251660922"
"blackscholes","OddEven","ACO","0.2","0.7","0.0005","OddEven+ACO(0.7, 0.0005)","100000","9.549342082999999","0.003515625","54.92697777777778","0.00312796875","57.656476347469905"
"blackscholes","OddEven","ACO","0.2","0.7","0.002","OddEven+ACO(0.7, 0.002)","100000","9.586499208","0.003515625","54.92715555555556","0.00312796875","57.656726110195315"
