"Benchmark","Routing","Selection","Data Packet Injection Rate","ACO Selection Alpha","Reinforcement Factor","Algorithm","Max Cycles","Simulation Time (Seconds)","Throughput","Average Packet Delay","Payload Throughput","Average Payload Packet Delay"
"blackscholes","XY","Random","0.23","0.5","0.05","XY+Random","1000","0.082521141","0.003484375","67.04932735426009","0.003484375","67.04932735426009"
"blackscholes","OddEven","BufferLevel","0.23","0.5","0.05","OddEven+BufferLevel","1000","0.100044111","0.003484375","70.33183856502242","0.003484375","70.33183856502242"
"blackscholes","OddEven","ACO","0.23","0.3","0.0005","OddEven+ACO(0.3, 0.0005)","1000","0.204812687","0.004125","86.6969696969697","0.003625","93.94827586206897"
"blackscholes","OddEven","ACO","0.23","0.3","0.002","OddEven+ACO(0.3, 0.002)","1000","0.121337372","0.004125","86.6969696969697","0.003625","93.94827586206897"
"blackscholes","OddEven","ACO","0.23","0.3","0.008","OddEven+ACO(0.3, 0.008)","1000","0.176262147","0.004125","86.6969696969697","0.003625","93.94827586206897"
"blackscholes","OddEven","ACO","0.23","0.3","0.032","OddEven+ACO(0.3, 0.032)","1000","0.103788823","0.004125","86.6969696969697","0.003625","93.94827586206897"
"blackscholes","OddEven","ACO","0.23","0.4","0.0005","OddEven+ACO(0.4, 0.0005)","1000","0.135735026","0.004125","86.6969696969697","0.003625","93.94827586206897"
"blackscholes","OddEven","ACO","0.23","0.4","0.002","OddEven+ACO(0.4, 0.002)","1000","0.150510592","0.004125","86.6969696969697","0.003625","93.94827586206897"
"blackscholes","OddEven","ACO","0.23","0.4","0.008","OddEven+ACO(0.4, 0.008)","1000","0.106014182","0.004125","86.6969696969697","0.003625","93.94827586206897"
"blackscholes","OddEven","ACO","0.23","0.4","0.032","OddEven+ACO(0.4, 0.032)","1000","0.128284715","0.004125","86.6969696969697","0.003625","93.94827586206897"
"blackscholes","OddEven","ACO","0.23","0.5","0.0005","OddEven+ACO(0.5, 0.0005)","1000","0.237760449","0.004125","86.6969696969697","0.003625","93.94827586206897"
"blackscholes","OddEven","ACO","0.23","0.5","0.002","OddEven+ACO(0.5, 0.002)","1000","0.157473883","0.004125","86.6969696969697","0.003625","93.94827586206897"
"blackscholes","OddEven","ACO","0.23","0.5","0.008","OddEven+ACO(0.5, 0.008)","1000","0.170079068","0.004125","86.6969696969697","0.003625","93.94827586206897"
"blackscholes","OddEven","ACO","0.23","0.5","0.032","OddEven+ACO(0.5, 0.032)","1000","0.174680321","0.004125","86.6969696969697","0.003625","93.94827586206897"
"blackscholes","OddEven","ACO","0.23","0.6","0.0005","OddEven+ACO(0.6, 0.0005)","1000","0.086717633","0.004125","86.6969696969697","0.003625","93.94827586206897"
"blackscholes","OddEven","ACO","0.23","0.6","0.002","OddEven+ACO(0.6, 0.002)","1000","0.136174158","0.004125","86.6969696969697","0.003625","93.94827586206897"
"blackscholes","OddEven","ACO","0.23","0.6","0.008","OddEven+ACO(0.6, 0.008)","1000","0.113202771","0.004125","86.6969696969697","0.003625","93.94827586206897"
"blackscholes","OddEven","ACO","0.23","0.6","0.032","OddEven+ACO(0.6, 0.032)","1000","0.292155088","0.004125","86.6969696969697","0.003625","93.94827586206897"
"blackscholes","OddEven","ACO","0.23","0.7","0.0005","OddEven+ACO(0.7, 0.0005)","1000","0.134781319","0.004125","86.6969696969697","0.003625","93.94827586206897"
"blackscholes","OddEven","ACO","0.23","0.7","0.002","OddEven+ACO(0.7, 0.002)","1000","0.293219629","0.004125","86.6969696969697","0.003625","93.94827586206897"
"blackscholes","OddEven","ACO","0.23","0.7","0.008","OddEven+ACO(0.7, 0.008)","1000","0.275953001","0.004125","86.6969696969697","0.003625","93.94827586206897"
"blackscholes","OddEven","ACO","0.23","0.7","0.032","OddEven+ACO(0.7, 0.032)","1000","0.133902945","0.004125","86.6969696969697","0.003625","93.94827586206897"
