"Benchmark","Routing","Selection","Data Packet Injection Rate","ACO Selection Alpha","Reinforcement Factor","Algorithm","Max Cycles","Simulation Time (Seconds)","Throughput","Average Packet Delay","Payload Throughput","Average Payload Packet Delay"
"blackscholes","XY","Random","0.05","0.5","0.05","XY+Random","1000","0.025017254","0.000734375","52.38297872340426","0.000734375","52.38297872340426"
"blackscholes","OddEven","BufferLevel","0.05","0.5","0.05","OddEven+BufferLevel","1000","0.030835457","0.000734375","52.340425531914896","0.000734375","52.340425531914896"
"blackscholes","OddEven","ACO","0.05","0.3","0.0005","OddEven+ACO(0.3, 0.0005)","1000","0.041054231","0.0013125","45.083333333333336","0.0008125","52.48076923076923"
"blackscholes","OddEven","ACO","0.05","0.3","0.002","OddEven+ACO(0.3, 0.002)","1000","0.043851918","0.0013125","45.083333333333336","0.0008125","52.48076923076923"
"blackscholes","OddEven","ACO","0.05","0.3","0.008","OddEven+ACO(0.3, 0.008)","1000","0.150501469","0.0013125","45.083333333333336","0.0008125","52.48076923076923"
"blackscholes","OddEven","ACO","0.05","0.3","0.032","OddEven+ACO(0.3, 0.032)","1000","0.046114638","0.0013125","45.083333333333336","0.0008125","52.48076923076923"
"blackscholes","OddEven","ACO","0.05","0.4","0.0005","OddEven+ACO(0.4, 0.0005)","1000","0.044004879","0.0013125","45.083333333333336","0.0008125","52.48076923076923"
"blackscholes","OddEven","ACO","0.05","0.4","0.002","OddEven+ACO(0.4, 0.002)","1000","0.221426491","0.0013125","45.083333333333336","0.0008125","52.48076923076923"
"blackscholes","OddEven","ACO","0.05","0.4","0.008","OddEven+ACO(0.4, 0.008)","1000","0.0382846","0.0013125","45.083333333333336","0.0008125","52.48076923076923"
"blackscholes","OddEven","ACO","0.05","0.4","0.032","OddEven+ACO(0.4, 0.032)","1000","0.037869712","0.0013125","45.083333333333336","0.0008125","52.48076923076923"
"blackscholes","OddEven","ACO","0.05","0.5","0.0005","OddEven+ACO(0.5, 0.0005)","1000","0.059834213","0.0013125","45.083333333333336","0.0008125","52.48076923076923"
"blackscholes","OddEven","ACO","0.05","0.5","0.002","OddEven+ACO(0.5, 0.002)","1000","0.03645154","0.0013125","45.083333333333336","0.0008125","52.48076923076923"
"blackscholes","OddEven","ACO","0.05","0.5","0.008","OddEven+ACO(0.5, 0.008)","1000","0.037198219","0.0013125","45.083333333333336","0.0008125","52.48076923076923"
"blackscholes","OddEven","ACO","0.05","0.5","0.032","OddEven+ACO(0.5, 0.032)","1000","0.034453676","0.0013125","45.083333333333336","0.0008125","52.48076923076923"
"blackscholes","OddEven","ACO","0.05","0.6","0.0005","OddEven+ACO(0.6, 0.0005)","1000","0.035190009","0.0013125","45.083333333333336","0.0008125","52.48076923076923"
"blackscholes","OddEven","ACO","0.05","0.6","0.002","OddEven+ACO(0.6, 0.002)","1000","0.040962788","0.0013125","45.083333333333336","0.0008125","52.48076923076923"
"blackscholes","OddEven","ACO","0.05","0.6","0.008","OddEven+ACO(0.6, 0.008)","1000","0.073830692","0.0013125","45.083333333333336","0.0008125","52.48076923076923"
"blackscholes","OddEven","ACO","0.05","0.6","0.032","OddEven+ACO(0.6, 0.032)","1000","0.0467361","0.0013125","45.083333333333336","0.0008125","52.48076923076923"
"blackscholes","OddEven","ACO","0.05","0.7","0.0005","OddEven+ACO(0.7, 0.0005)","1000","0.036311362","0.0013125","45.083333333333336","0.0008125","52.48076923076923"
"blackscholes","OddEven","ACO","0.05","0.7","0.002","OddEven+ACO(0.7, 0.002)","1000","0.037479129","0.0013125","45.083333333333336","0.0008125","52.48076923076923"
"blackscholes","OddEven","ACO","0.05","0.7","0.008","OddEven+ACO(0.7, 0.008)","1000","0.041110692","0.0013125","45.083333333333336","0.0008125","52.48076923076923"
"blackscholes","OddEven","ACO","0.05","0.7","0.032","OddEven+ACO(0.7, 0.032)","1000","0.04372446","0.0013125","45.083333333333336","0.0008125","52.48076923076923"
"blackscholes","XY","Random","0.1","0.5","0.05","XY+Random","1000","0.043535183","0.001453125","52.82795698924731","0.001453125","52.82795698924731"
"blackscholes","OddEven","BufferLevel","0.1","0.5","0.05","OddEven+BufferLevel","1000","0.045920823","0.00159375","53.088235294117645","0.00159375","53.088235294117645"
"blackscholes","OddEven","ACO","0.1","0.3","0.0005","OddEven+ACO(0.3, 0.0005)","1000","0.058651487","0.002109375","48.303703703703704","0.001609375","53.029126213592235"
"blackscholes","OddEven","ACO","0.1","0.3","0.002","OddEven+ACO(0.3, 0.002)","1000","0.077999713","0.002109375","48.303703703703704","0.001609375","53.029126213592235"
