"Benchmark","Routing","Selection","Data Packet Injection Rate","ACO Selection Alpha","Reinforcement Factor","Algorithm","Max Cycles","Simulation Time (Seconds)","Throughput","Average Packet Delay","Payload Throughput","Average Payload Packet Delay"
"bodytrack","XY","Random","0.05","0.5","0.05","XY+Random","1000","0.024252462","0.00071875","47.130434782608695","0.00071875","47.130434782608695"
"bodytrack","OddEven","BufferLevel","0.05","0.5","0.05","OddEven+BufferLevel","1000","0.027099501","0.000765625","47.142857142857146","0.000765625","47.142857142857146"
"bodytrack","OddEven","ACO","0.05","0.3","0.0005","OddEven+ACO(0.3, 0.0005)","1000","0.035146954","0.001328125","41.68235294117647","0.000828125","46.886792452830186"
"bodytrack","OddEven","ACO","0.05","0.3","0.002","OddEven+ACO(0.3, 0.002)","1000","0.027127717","0.001328125","41.68235294117647","0.000828125","46.886792452830186"
"bodytrack","OddEven","ACO","0.05","0.3","0.008","OddEven+ACO(0.3, 0.008)","1000","0.051230139","0.001328125","41.68235294117647","0.000828125","46.886792452830186"
"bodytrack","OddEven","ACO","0.05","0.3","0.032","OddEven+ACO(0.3, 0.032)","1000","0.036709111","0.001328125","41.68235294117647","0.000828125","46.886792452830186"
"bodytrack","OddEven","ACO","0.05","0.4","0.0005","OddEven+ACO(0.4, 0.0005)","1000","0.063289167","0.001328125","41.68235294117647","0.000828125","46.886792452830186"
"bodytrack","OddEven","ACO","0.05","0.4","0.002","OddEven+ACO(0.4, 0.002)","1000","0.033177006","0.001328125","41.68235294117647","0.000828125","46.886792452830186"
"bodytrack","OddEven","ACO","0.05","0.4","0.008","OddEven+ACO(0.4, 0.008)","1000","0.042270806","0.001328125","41.68235294117647","0.000828125","46.886792452830186"
"bodytrack","OddEven","ACO","0.05","0.4","0.032","OddEven+ACO(0.4, 0.032)","1000","0.0764719","0.001328125","41.68235294117647","0.000828125","46.886792452830186"
"bodytrack","OddEven","ACO","0.05","0.5","0.0005","OddEven+ACO(0.5, 0.0005)","1000","0.035581865","0.001328125","41.68235294117647","0.000828125","46.886792452830186"
"bodytrack","OddEven","ACO","0.05","0.5","0.002","OddEven+ACO(0.5, 0.002)","1000","0.037680899","0.001328125","41.68235294117647","0.000828125","46.886792452830186"
"bodytrack","OddEven","ACO","0.05","0.5","0.008","OddEven+ACO(0.5, 0.008)","1000","0.036428177","0.001328125","41.68235294117647","0.000828125","46.886792452830186"
"bodytrack","OddEven","ACO","0.05","0.5","0.032","OddEven+ACO(0.5, 0.032)","1000","0.032983094","0.001328125","41.68235294117647","0.000828125","46.886792452830186"
"bodytrack","OddEven","ACO","0.05","0.6","0.0005","OddEven+ACO(0.6, 0.0005)","1000","0.065740345","0.001328125","41.68235294117647","0.000828125","46.886792452830186"
"bodytrack","OddEven","ACO","0.05","0.6","0.002","OddEven+ACO(0.6, 0.002)","1000","0.034430206","0.001328125","41.68235294117647","0.000828125","46.886792452830186"
"bodytrack","OddEven","ACO","0.05","0.6","0.008","OddEven+ACO(0.6, 0.008)","1000","0.035152058","0.001328125","41.68235294117647","0.000828125","46.886792452830186"
"bodytrack","OddEven","ACO","0.05","0.6","0.032","OddEven+ACO(0.6, 0.032)","1000","0.033878314","0.001328125","41.68235294117647","0.000828125","46.886792452830186"
"bodytrack","OddEven","ACO","0.05","0.7","0.0005","OddEven+ACO(0.7, 0.0005)","1000","0.046818619","0.001328125","41.68235294117647","0.000828125","46.886792452830186"
"bodytrack","OddEven","ACO","0.05","0.7","0.002","OddEven+ACO(0.7, 0.002)","1000","0.034002132","0.001328125","41.68235294117647","0.000828125","46.886792452830186"
