"Bench","Routing","Selection","Data Packet Injection Rate","ACO Selection Alpha","Reinforcement Factor","Algorithm","Max Cycles","Simulation Time (Seconds)","Throughput","Average Packet Delay","Payload Throughput","Average Payload Packet Delay"
"canneal","XY","Random","0.05","0.5","0.05","XY+Random","10000000","269.160910904","0.0007814578125","49.99860437123725","0.0007814578125","49.99860437123725"
"canneal","OddEven","BufferLevel","0.05","0.5","0.05","OddEven+BufferLevel","10000000","266.724125172","0.000781740625","49.983708231230786","0.000781740625","49.983708231230786"
"canneal","OddEven","ACO","0.05","0.3","0.0005","OddEven+ACO(0.3, 0.0005)","10000000","336.227610509","0.0011825359375","43.9546115802506","0.000781515625","49.99374212767659"
"canneal","OddEven","ACO","0.05","0.3","0.002","OddEven+ACO(0.3, 0.002)","10000000","335.513513004","0.0011825359375","43.95572412572028","0.000781515625","49.995389567547036"
"canneal","OddEven","ACO","0.05","0.3","0.008","OddEven+ACO(0.3, 0.008)","10000000","327.19403905","0.0011825359375","43.95633721491022","0.000781515625","49.996251274566646"
"canneal","OddEven","ACO","0.05","0.3","0.032","OddEven+ACO(0.3, 0.032)","10000000","330.058519189","0.0011825359375","43.96238750672218","0.000781515625","50.00527820541016"
"canneal","OddEven","ACO","0.05","0.4","0.0005","OddEven+ACO(0.4, 0.0005)","10000000","329.289354268","0.0011825359375","43.954725213160806","0.000781515625","49.99395405562109"
"canneal","OddEven","ACO","0.05","0.4","0.002","OddEven+ACO(0.4, 0.002)","10000000","332.379918385","0.0011825359375","43.955323767908745","0.000781515625","49.99479776875862"
"canneal","OddEven","ACO","0.05","0.4","0.008","OddEven+ACO(0.4, 0.008)","10000000","331.03485588","0.0011825359375","43.95626586401312","0.000781515625","49.99612731671232"
"canneal","OddEven","ACO","0.05","0.4","0.032","OddEven+ACO(0.4, 0.032)","10000000","332.814425095","0.0011825359375","43.962379578844725","0.000781515625","50.00527020812924"
"canneal","OddEven","ACO","0.05","0.5","0.0005","OddEven+ACO(0.5, 0.0005)","10000000","327.732862863","0.0011825359375","43.954792600119184","0.000781515625","49.994056020952875"
"canneal","OddEven","ACO","0.05","0.5","0.002","OddEven+ACO(0.5, 0.002)","10000000","334.015829791","0.0011825359375","43.95498286917813","0.000781515625","49.994285942779456"
