"Benchmark","Routing","Selection","Data Packet Injection Rate","ACO Selection Alpha","Reinforcement Factor","Algorithm","Max Cycles","Simulation Time (Seconds)","Throughput","Average Packet Delay","Payload Throughput","Average Payload Packet Delay"
"fluidanimate","XY","Random","0.05","0.5","0.05","XY+Random","1000","0.035582931","0.000734375","50.191489361702125","0.000734375","50.191489361702125"
"fluidanimate","OddEven","BufferLevel","0.05","0.5","0.05","OddEven+BufferLevel","1000","0.028744115","0.00078125","50.72","0.00078125","50.72"
"fluidanimate","OddEven","ACO","0.05","0.3","0.0005","OddEven+ACO(0.3, 0.0005)","1000","0.074306679","0.001328125","43.90588235294118","0.000828125","50.45283018867924"
"fluidanimate","OddEven","ACO","0.05","0.3","0.002","OddEven+ACO(0.3, 0.002)","1000","0.041765881","0.001328125","43.90588235294118","0.000828125","50.45283018867924"
"fluidanimate","OddEven","ACO","0.05","0.3","0.008","OddEven+ACO(0.3, 0.008)","1000","0.070779167","0.001328125","43.90588235294118","0.000828125","50.45283018867924"
"fluidanimate","OddEven","ACO","0.05","0.3","0.032","OddEven+ACO(0.3, 0.032)","1000","0.036101615","0.001328125","43.90588235294118","0.000828125","50.45283018867924"
"fluidanimate","OddEven","ACO","0.05","0.4","0.0005","OddEven+ACO(0.4, 0.0005)","1000","0.081968802","0.001328125","43.90588235294118","0.000828125","50.45283018867924"
"fluidanimate","OddEven","ACO","0.05","0.4","0.002","OddEven+ACO(0.4, 0.002)","1000","0.036095964","0.001328125","43.90588235294118","0.000828125","50.45283018867924"
"fluidanimate","OddEven","ACO","0.05","0.4","0.008","OddEven+ACO(0.4, 0.008)","1000","0.071417497","0.001328125","43.90588235294118","0.000828125","50.45283018867924"
"fluidanimate","OddEven","ACO","0.05","0.4","0.032","OddEven+ACO(0.4, 0.032)","1000","0.030693259","0.001328125","43.90588235294118","0.000828125","50.45283018867924"
"fluidanimate","OddEven","ACO","0.05","0.5","0.0005","OddEven+ACO(0.5, 0.0005)","1000","0.036678028","0.001328125","43.90588235294118","0.000828125","50.45283018867924"
"fluidanimate","OddEven","ACO","0.05","0.5","0.002","OddEven+ACO(0.5, 0.002)","1000","0.042875654","0.001328125","43.90588235294118","0.000828125","50.45283018867924"
"fluidanimate","OddEven","ACO","0.05","0.5","0.008","OddEven+ACO(0.5, 0.008)","1000","0.155320504","0.001328125","43.90588235294118","0.000828125","50.45283018867924"
"fluidanimate","OddEven","ACO","0.05","0.5","0.032","OddEven+ACO(0.5, 0.032)","1000","0.048557007","0.001328125","43.90588235294118","0.000828125","50.45283018867924"
"fluidanimate","OddEven","ACO","0.05","0.6","0.0005","OddEven+ACO(0.6, 0.0005)","1000","0.036633431","0.001328125","43.90588235294118","0.000828125","50.45283018867924"
"fluidanimate","OddEven","ACO","0.05","0.6","0.002","OddEven+ACO(0.6, 0.002)","1000","0.072335497","0.001328125","43.90588235294118","0.000828125","50.45283018867924"
"fluidanimate","OddEven","ACO","0.05","0.6","0.008","OddEven+ACO(0.6, 0.008)","1000","0.035501844","0.001328125","43.90588235294118","0.000828125","50.45283018867924"
"fluidanimate","OddEven","ACO","0.05","0.6","0.032","OddEven+ACO(0.6, 0.032)","1000","0.041783599","0.001328125","43.90588235294118","0.000828125","50.45283018867924"
"fluidanimate","OddEven","ACO","0.05","0.7","0.0005","OddEven+ACO(0.7, 0.0005)","1000","0.035928674","0.001328125","43.90588235294118","0.000828125","50.45283018867924"
"fluidanimate","OddEven","ACO","0.05","0.7","0.002","OddEven+ACO(0.7, 0.002)","1000","0.034559608","0.001328125","43.90588235294118","0.000828125","50.45283018867924"
"fluidanimate","OddEven","ACO","0.05","0.7","0.008","OddEven+ACO(0.7, 0.008)","1000","0.041279404","0.001328125","43.90588235294118","0.000828125","50.45283018867924"
"fluidanimate","OddEven","ACO","0.05","0.7","0.032","OddEven+ACO(0.7, 0.032)","1000","0.036922505","0.001328125","43.90588235294118","0.000828125","50.45283018867924"
"fluidanimate","XY","Random","0.1","0.5","0.05","XY+Random","1000","0.058504707","0.001484375","51.642105263157895","0.001484375","51.642105263157895"
"fluidanimate","OddEven","BufferLevel","0.1","0.5","0.05","OddEven+BufferLevel","1000","0.052713124","0.001578125","51.87128712871287","0.001578125","51.87128712871287"
"fluidanimate","OddEven","ACO","0.1","0.3","0.0005","OddEven+ACO(0.3, 0.0005)","1000","0.052723143","0.002125","47","0.001625","51.22115384615385"
"fluidanimate","OddEven","ACO","0.1","0.3","0.002","OddEven+ACO(0.3, 0.002)","1000","0.059914397","0.002125","47","0.001625","51.22115384615385"
