"Benchmark","Routing","Selection","Data Packet Injection Rate","ACO Selection Alpha","Reinforcement Factor","Algorithm","Max Cycles","Simulation Time (Seconds)","Throughput","Average Packet Delay","Payload Throughput","Average Payload Packet Delay"
"freqmine","XY","Random","0.05","0.5","0.05","XY+Random","1000","0.027078755","0.000734375","51.08510638297872","0.000734375","51.08510638297872"
"freqmine","OddEven","BufferLevel","0.05","0.5","0.05","OddEven+BufferLevel","1000","0.028642561","0.000796875","51.333333333333336","0.000796875","51.333333333333336"
"freqmine","OddEven","ACO","0.05","0.3","0.0005","OddEven+ACO(0.3, 0.0005)","1000","0.053969367","0.001328125","44.4","0.000828125","51.16981132075472"
"freqmine","OddEven","ACO","0.05","0.3","0.002","OddEven+ACO(0.3, 0.002)","1000","0.066229378","0.001328125","44.4","0.000828125","51.16981132075472"
"freqmine","OddEven","ACO","0.05","0.3","0.008","OddEven+ACO(0.3, 0.008)","1000","0.038965163","0.001328125","44.4","0.000828125","51.16981132075472"
"freqmine","OddEven","ACO","0.05","0.3","0.032","OddEven+ACO(0.3, 0.032)","1000","0.035842465","0.001328125","44.4","0.000828125","51.16981132075472"
"freqmine","OddEven","ACO","0.05","0.4","0.0005","OddEven+ACO(0.4, 0.0005)","1000","0.035737951","0.001328125","44.4","0.000828125","51.16981132075472"
"freqmine","OddEven","ACO","0.05","0.4","0.002","OddEven+ACO(0.4, 0.002)","1000","0.202476705","0.001328125","44.4","0.000828125","51.16981132075472"
"freqmine","OddEven","ACO","0.05","0.4","0.008","OddEven+ACO(0.4, 0.008)","1000","0.03659212","0.001328125","44.4","0.000828125","51.16981132075472"
"freqmine","OddEven","ACO","0.05","0.4","0.032","OddEven+ACO(0.4, 0.032)","1000","0.034805458","0.001328125","44.4","0.000828125","51.16981132075472"
"freqmine","OddEven","ACO","0.05","0.5","0.0005","OddEven+ACO(0.5, 0.0005)","1000","0.271730209","0.001328125","44.4","0.000828125","51.16981132075472"
"freqmine","OddEven","ACO","0.05","0.5","0.002","OddEven+ACO(0.5, 0.002)","1000","0.119446559","0.001328125","44.4","0.000828125","51.16981132075472"
"freqmine","OddEven","ACO","0.05","0.5","0.008","OddEven+ACO(0.5, 0.008)","1000","0.041361141","0.001328125","44.4","0.000828125","51.16981132075472"
"freqmine","OddEven","ACO","0.05","0.5","0.032","OddEven+ACO(0.5, 0.032)","1000","0.038339285","0.001328125","44.4","0.000828125","51.16981132075472"
