"Bench","Routing","Selection","Data Packet Injection Rate","ACO Selection Alpha","Reinforcement Factor","Algorithm","Max Cycles","Simulation Time (Seconds)","Throughput","Average Packet Delay","Payload Throughput","Average Payload Packet Delay"
"streamcluster","XY","Random","0.05","0.5","0.05","XY+Random","10000000","151.870535141","0.000781159375","49.77057938720892","0.000781159375","49.77057938720892"
"streamcluster","OddEven","BufferLevel","0.05","0.5","0.05","OddEven+BufferLevel","10000000","143.287369153","0.0007808890625","49.755046831636214","0.0007808890625","49.755046831636214"
"streamcluster","OddEven","ACO","0.05","0.3","0.0005","OddEven+ACO(0.3, 0.0005)","10000000","184.519180659","0.0011825390625","43.80316453605523","0.00078151875","49.76465096006974"
"streamcluster","OddEven","ACO","0.05","0.3","0.002","OddEven+ACO(0.3, 0.002)","10000000","180.420416325","0.0011825390625","43.803895220163184","0.00078151875","49.765702598306184"
"streamcluster","OddEven","ACO","0.05","0.3","0.008","OddEven+ACO(0.3, 0.008)","10000000","215.795775934","0.0011825390625","43.8045638027285","0.00078151875","49.76668825923882"
"streamcluster","OddEven","ACO","0.05","0.3","0.032","OddEven+ACO(0.3, 0.032)","10000000","180.925827712","0.0011825390625","43.80468800581376","0.00078151875","49.7668781939013"
"streamcluster","OddEven","ACO","0.05","0.4","0.0005","OddEven+ACO(0.4, 0.0005)","10000000","180.663425209","0.0011825390625","43.803173785221155","0.00078151875","49.76470094287565"
"streamcluster","OddEven","ACO","0.05","0.4","0.002","OddEven+ACO(0.4, 0.002)","10000000","197.526707336","0.0011825390625","43.80350543388498","0.00078151875","49.76513879225546"
"streamcluster","OddEven","ACO","0.05","0.4","0.008","OddEven+ACO(0.4, 0.008)","10000000","181.246810156","0.0011825390625","43.80448452416345","0.00078151875","49.76659229225147"
"streamcluster","OddEven","ACO","0.05","0.4","0.032","OddEven+ACO(0.4, 0.032)","10000000","179.541522454","0.0011825390625","43.8046681861725","0.00078151875","49.76683420903209"
"streamcluster","OddEven","ACO","0.05","0.5","0.0005","OddEven+ACO(0.5, 0.0005)","10000000","219.159082701","0.0011825390625","43.80323985069204","0.00078151875","49.76477091880393"
"streamcluster","OddEven","ACO","0.05","0.5","0.002","OddEven+ACO(0.5, 0.002)","10000000","180.305534602","0.0011825390625","43.80332177187593","0.00078151875","49.76486088785458"
"streamcluster","OddEven","ACO","0.05","0.5","0.008","OddEven+ACO(0.5, 0.008)","10000000","181.066222258","0.0011825390625","43.804447527499754","0.00078151875","49.76651831769871"
"streamcluster","OddEven","ACO","0.05","0.5","0.032","OddEven+ACO(0.5, 0.032)","10000000","185.382380088","0.0011825390625","43.8046681861725","0.00078151875","49.76683420903209"
"streamcluster","OddEven","ACO","0.05","0.6","0.0005","OddEven+ACO(0.6, 0.0005)","10000000","182.990442657","0.0011825390625","43.80323852938262","0.00078151875","49.764778916052876"
"streamcluster","OddEven","ACO","0.05","0.6","0.002","OddEven+ACO(0.6, 0.002)","10000000","182.802778595","0.0011825390625","43.80322267366961","0.00078151875","49.76471293874907"
"streamcluster","OddEven","ACO","0.05","0.6","0.008","OddEven+ACO(0.6, 0.008)","10000000","189.464975298","0.0011825390625","43.80430218346381","0.00078151875","49.76629039610374"
"streamcluster","OddEven","ACO","0.05","0.6","0.032","OddEven+ACO(0.6, 0.032)","10000000","181.226104067","0.0011825390625","43.80467479271959","0.00078151875","49.76684220628104"
"streamcluster","OddEven","ACO","0.05","0.7","0.0005","OddEven+ACO(0.7, 0.0005)","10000000","180.724751248","0.0011825390625","43.80325042116738","0.00078151875","49.76481090504866"
"streamcluster","OddEven","ACO","0.05","0.7","0.002","OddEven+ACO(0.7, 0.002)","10000000","180.822192056","0.0011825390625","43.80323456545437","0.00078151875","49.764732931871436"
"streamcluster","OddEven","ACO","0.05","0.7","0.008","OddEven+ACO(0.7, 0.008)","10000000","182.173518071","0.0011825390625","43.804172695140885","0.00078151875","49.766116455939155"
"streamcluster","OddEven","ACO","0.05","0.7","0.032","OddEven+ACO(0.7, 0.032)","10000000","181.728138623","0.0011825390625","43.80460608462987","0.00078151875","49.76675223723039"
"streamcluster","XY","Random","0.1","0.5","0.05","XY+Random","10000000","460.95774992","0.001563665625","50.4348486029422","0.001563665625","50.4348486029422"
"streamcluster","OddEven","BufferLevel","0.1","0.5","0.05","OddEven+BufferLevel","10000000","428.532372054","0.00156148125","50.39631139502956","0.00156148125","50.39631139502956"
"streamcluster","OddEven","ACO","0.1","0.3","0.0005","OddEven+ACO(0.3, 0.0005)","10000000","534.720349231","0.001961740625","46.68283428141781","0.0015607203125","50.40229120968783"
"streamcluster","OddEven","ACO","0.1","0.3","0.002","OddEven+ACO(0.3, 0.002)","10000000","500.795758162","0.001961740625","46.68264471762163","0.0015607203125","50.40190777295339"
"streamcluster","OddEven","ACO","0.1","0.3","0.008","OddEven+ACO(0.3, 0.008)","10000000","499.427056396","0.001961740625","46.68574623620286","0.0015607203125","50.40563001258433"
"streamcluster","OddEven","ACO","0.1","0.3","0.032","OddEven+ACO(0.3, 0.032)","10000000","498.56700437","0.001961740625","46.68497842317967","0.0015607203125","50.404837109467685"
"streamcluster","OddEven","ACO","0.1","0.4","0.0005","OddEven+ACO(0.4, 0.0005)","10000000","492.687811408","0.001961740625","46.68285180412166","0.0015607203125","50.4023192416162"
"streamcluster","OddEven","ACO","0.1","0.4","0.002","OddEven+ACO(0.4, 0.002)","10000000","584.342122395","0.001961740625","46.68209753136962","0.0015607203125","50.40124902263678"
"streamcluster","OddEven","ACO","0.1","0.4","0.008","OddEven+ACO(0.4, 0.008)","10000000","514.448472109","0.001961740625","46.68540454347781","0.0015607203125","50.40523255988571"
"streamcluster","OddEven","ACO","0.1","0.4","0.032","OddEven+ACO(0.4, 0.032)","10000000","508.340247596","0.001961740625","46.684888420200814","0.0015607203125","50.404803070697525"
"streamcluster","OddEven","ACO","0.1","0.5","0.0005","OddEven+ACO(0.5, 0.0005)","10000000","542.73279752","0.001961740625","46.68287171628512","0.0015607203125","50.40238932143712"
"streamcluster","OddEven","ACO","0.1","0.5","0.002","OddEven+ACO(0.5, 0.002)","10000000","507.623351561","0.001961740625","46.68209832785616","0.0015607203125","50.40129207166963"
"streamcluster","OddEven","ACO","0.1","0.5","0.008","OddEven+ACO(0.5, 0.008)","10000000","504.521477309","0.001961740625","46.68451805396037","0.0015607203125","50.4041573352048"
"streamcluster","OddEven","ACO","0.1","0.5","0.032","OddEven+ACO(0.5, 0.032)","10000000","523.559238327","0.001961740625","46.686496526522205","0.0015607203125","50.406598115253274"
"streamcluster","OddEven","ACO","0.1","0.6","0.0005","OddEven+ACO(0.6, 0.0005)","10000000","504.342824217","0.001961740625","46.68288127412359","0.0015607203125","50.402383314595326"
"streamcluster","OddEven","ACO","0.1","0.6","0.002","OddEven+ACO(0.6, 0.002)","10000000","541.575813739","0.001961740625","46.682374708685046","0.0015607203125","50.40166749928168"
"streamcluster","OddEven","ACO","0.1","0.6","0.008","OddEven+ACO(0.6, 0.008)","10000000","496.737389465","0.001961740625","46.683834668510265","0.0015607203125","50.403334397879185"
"streamcluster","OddEven","ACO","0.1","0.6","0.032","OddEven+ACO(0.6, 0.032)","10000000","512.01750893","0.001961740625","46.68633165380872","0.0015607203125","50.4064068974562"
"streamcluster","OddEven","ACO","0.1","0.7","0.0005","OddEven+ACO(0.7, 0.0005)","10000000","611.902308536","0.001961740625","46.682866937365894","0.0015607203125","50.40237029977144"
"streamcluster","OddEven","ACO","0.1","0.7","0.002","OddEven+ACO(0.7, 0.002)","10000000","523.499200439","0.001961740625","46.68251329734276","0.0015607203125","50.401854712517554"
"streamcluster","OddEven","ACO","0.1","0.7","0.008","OddEven+ACO(0.7, 0.008)","10000000","521.774968601","0.001961740625","46.68338067118328","0.0015607203125","50.40275473764618"
"streamcluster","OddEven","ACO","0.1","0.7","0.032","OddEven+ACO(0.7, 0.032)","10000000","514.888811556","0.001961740625","46.68610784109138","0.0015607203125","50.406079524578494"
"streamcluster","XY","Random","0.15","0.5","0.05","XY+Random","10000000","607.798836751","0.002346021875","51.70804566773275","0.002346021875","51.70804566773275"
"streamcluster","OddEven","BufferLevel","0.15","0.5","0.05","OddEven+BufferLevel","10000000","601.920352495","0.002343575","51.56320338585281","0.002343575","51.56320338585281"
"streamcluster","OddEven","ACO","0.15","0.3","0.0005","OddEven+ACO(0.3, 0.0005)","10000000","677.783458515","0.002742765625","48.69034220705606","0.0023417453125","51.508263401295906"
"streamcluster","OddEven","ACO","0.15","0.3","0.002","OddEven+ACO(0.3, 0.002)","10000000","947.089879325","0.002742765625","48.71380905450133","0.0023417453125","51.5355447359308"
"streamcluster","OddEven","ACO","0.15","0.3","0.008","OddEven+ACO(0.3, 0.008)","10000000","675.160500166","0.002742765625","48.722518329469004","0.0023417453125","51.545719438693226"
"streamcluster","OddEven","ACO","0.15","0.3","0.032","OddEven+ACO(0.3, 0.032)","10000000","669.377828777","0.002742765625","48.74055384334927","0.0023417453125","51.566716064473816"
"streamcluster","OddEven","ACO","0.15","0.4","0.0005","OddEven+ACO(0.4, 0.0005)","10000000","706.964830151","0.002742765625","48.69018668428878","0.0023417453125","51.50813195553263"
"streamcluster","OddEven","ACO","0.15","0.4","0.002","OddEven+ACO(0.4, 0.002)","10000000","825.453963884","0.002742765625","48.70701333621972","0.0023417453125","51.527649983285706"
"streamcluster","OddEven","ACO","0.15","0.4","0.008","OddEven+ACO(0.4, 0.008)","10000000","657.770538448","0.002742765625","48.72163133698309","0.0023417453125","51.544697231031606"
"streamcluster","OddEven","ACO","0.15","0.4","0.032","OddEven+ACO(0.4, 0.032)","10000000","645.17398737","0.002742765625","48.72498561556823","0.0023417453125","51.54857588190432"
"streamcluster","OddEven","ACO","0.15","0.5","0.0005","OddEven+ACO(0.5, 0.0005)","10000000","665.821302137","0.002742765625","48.690273845400114","0.0023417453125","51.50821669467952"
"streamcluster","OddEven","ACO","0.15","0.5","0.002","OddEven+ACO(0.5, 0.002)","10000000","674.88166628","0.002742765625","48.70088471376405","0.0023417453125","51.520473845295676"
"streamcluster","OddEven","ACO","0.15","0.5","0.008","OddEven+ACO(0.5, 0.008)","10000000","827.77707727","0.002742765625","48.72004420720418","0.0023417453125","51.54284431283558"
"streamcluster","OddEven","ACO","0.15","0.5","0.032","OddEven+ACO(0.5, 0.032)","10000000","711.339886415","0.002742765625","48.724989603331494","0.0023417453125","51.548573880192194"
"streamcluster","OddEven","ACO","0.15","0.6","0.0005","OddEven+ACO(0.6, 0.0005)","10000000","646.263570884","0.002742765625","48.69065781003435","0.0023417453125","51.5086470627877"
"streamcluster","OddEven","ACO","0.15","0.6","0.002","OddEven+ACO(0.6, 0.002)","10000000","672.332560637","0.002742765625","48.69605610213232","0.0023417453125","51.51486104448004"
"streamcluster","OddEven","ACO","0.15","0.6","0.008","OddEven+ACO(0.6, 0.008)","10000000","822.125583836","0.002742765625","48.718251422776966","0.0023417453125","51.54077320801726"
"streamcluster","OddEven","ACO","0.15","0.6","0.032","OddEven+ACO(0.6, 0.032)","10000000","676.146144369","0.002742765625","48.72444043136205","0.0023417453125","51.54794734429515"
"streamcluster","OddEven","ACO","0.15","0.7","0.0005","OddEven+ACO(0.7, 0.0005)","10000000","707.821071697","0.002742765625","48.69060824783379","0.0023417453125","51.50860969749459"
"streamcluster","OddEven","ACO","0.15","0.7","0.002","OddEven+ACO(0.7, 0.002)","10000000","811.663380766","0.002742765625","48.69236969983536","0.0023417453125","51.51059806487816"
"streamcluster","OddEven","ACO","0.15","0.7","0.008","OddEven+ACO(0.7, 0.008)","10000000","650.807390991","0.002742765625","48.71635894426816","0.0023417453125","51.538576662572055"
"streamcluster","OddEven","ACO","0.15","0.7","0.032","OddEven+ACO(0.7, 0.032)","10000000","904.383446742","0.002742765625","48.72377732329936","0.0023417453125","51.547187360922706"
"streamcluster","XY","Random","0.2","0.5","0.05","XY+Random","10000000","784.67606316","0.0031274921875","57.742335987050325","0.0031274921875","57.742335987050325"
"streamcluster","OddEven","BufferLevel","0.2","0.5","0.05","OddEven+BufferLevel","10000000","773.558745747","0.0031292640625","56.678499187858165","0.0031292640625","56.678499187858165"
"streamcluster","OddEven","ACO","0.2","0.3","0.0005","OddEven+ACO(0.3, 0.0005)","10000000","913.335749425","0.003521115625","53.16810989414754","0.0031200953125","55.849835316529294"
"streamcluster","OddEven","ACO","0.2","0.3","0.002","OddEven+ACO(0.3, 0.002)","10000000","916.363962011","0.003521115625","53.27955894660517","0.0031200953125","55.97507287688026"
"streamcluster","OddEven","ACO","0.2","0.3","0.008","OddEven+ACO(0.3, 0.008)","10000000","864.307431436","0.003521115625","53.31196078657599","0.0031200953125","56.011371347329636"
