"Benchmark","Routing","Selection","Data Packet Injection Rate","ACO Selection Alpha","Reinforcement Factor","Algorithm","Max Cycles","Simulation Time (Seconds)","Throughput","Average Packet Delay","Payload Throughput","Average Payload Packet Delay"
"x264","XY","Random","0.05","0.5","0.05","XY+Random","1000","0.024627944","0.000734375","52.38297872340426","0.000734375","52.38297872340426"
"x264","OddEven","BufferLevel","0.05","0.5","0.05","OddEven+BufferLevel","1000","0.030001522","0.000734375","52.340425531914896","0.000734375","52.340425531914896"
"x264","OddEven","ACO","0.05","0.3","0.0005","OddEven+ACO(0.3, 0.0005)","1000","0.085721589","0.0013125","45.083333333333336","0.0008125","52.48076923076923"
"x264","OddEven","ACO","0.05","0.3","0.002","OddEven+ACO(0.3, 0.002)","1000","0.03454716","0.0013125","45.083333333333336","0.0008125","52.48076923076923"
"x264","OddEven","ACO","0.05","0.3","0.008","OddEven+ACO(0.3, 0.008)","1000","0.036725616","0.0013125","45.083333333333336","0.0008125","52.48076923076923"
"x264","OddEven","ACO","0.05","0.3","0.032","OddEven+ACO(0.3, 0.032)","1000","0.043893421","0.0013125","45.083333333333336","0.0008125","52.48076923076923"
"x264","OddEven","ACO","0.05","0.4","0.0005","OddEven+ACO(0.4, 0.0005)","1000","0.032969034","0.0013125","45.083333333333336","0.0008125","52.48076923076923"
"x264","OddEven","ACO","0.05","0.4","0.002","OddEven+ACO(0.4, 0.002)","1000","0.091889101","0.0013125","45.083333333333336","0.0008125","52.48076923076923"
"x264","OddEven","ACO","0.05","0.4","0.008","OddEven+ACO(0.4, 0.008)","1000","0.034065697","0.0013125","45.083333333333336","0.0008125","52.48076923076923"
"x264","OddEven","ACO","0.05","0.4","0.032","OddEven+ACO(0.4, 0.032)","1000","0.039494397","0.0013125","45.083333333333336","0.0008125","52.48076923076923"
"x264","OddEven","ACO","0.05","0.5","0.0005","OddEven+ACO(0.5, 0.0005)","1000","0.037822203","0.0013125","45.083333333333336","0.0008125","52.48076923076923"
"x264","OddEven","ACO","0.05","0.5","0.002","OddEven+ACO(0.5, 0.002)","1000","0.035811681","0.0013125","45.083333333333336","0.0008125","52.48076923076923"
"x264","OddEven","ACO","0.05","0.5","0.008","OddEven+ACO(0.5, 0.008)","1000","0.028177498","0.0013125","45.083333333333336","0.0008125","52.48076923076923"
"x264","OddEven","ACO","0.05","0.5","0.032","OddEven+ACO(0.5, 0.032)","1000","0.042069558","0.0013125","45.083333333333336","0.0008125","52.48076923076923"
"x264","OddEven","ACO","0.05","0.6","0.0005","OddEven+ACO(0.6, 0.0005)","1000","0.038169629","0.0013125","45.083333333333336","0.0008125","52.48076923076923"
"x264","OddEven","ACO","0.05","0.6","0.002","OddEven+ACO(0.6, 0.002)","1000","0.040104266","0.0013125","45.083333333333336","0.0008125","52.48076923076923"
"x264","OddEven","ACO","0.05","0.6","0.008","OddEven+ACO(0.6, 0.008)","1000","0.022194286","0.0013125","45.083333333333336","0.0008125","52.48076923076923"
"x264","OddEven","ACO","0.05","0.6","0.032","OddEven+ACO(0.6, 0.032)","1000","0.024665127","0.0013125","45.083333333333336","0.0008125","52.48076923076923"
"x264","OddEven","ACO","0.05","0.7","0.0005","OddEven+ACO(0.7, 0.0005)","1000","0.044960346","0.0013125","45.083333333333336","0.0008125","52.48076923076923"
"x264","OddEven","ACO","0.05","0.7","0.002","OddEven+ACO(0.7, 0.002)","1000","0.035468789","0.0013125","45.083333333333336","0.0008125","52.48076923076923"
"x264","OddEven","ACO","0.05","0.7","0.008","OddEven+ACO(0.7, 0.008)","1000","0.048588346","0.0013125","45.083333333333336","0.0008125","52.48076923076923"
"x264","OddEven","ACO","0.05","0.7","0.032","OddEven+ACO(0.7, 0.032)","1000","0.02169467","0.0013125","45.083333333333336","0.0008125","52.48076923076923"
"x264","XY","Random","0.1","0.5","0.05","XY+Random","1000","0.026271309","0.001453125","52.82795698924731","0.001453125","52.82795698924731"
"x264","OddEven","BufferLevel","0.1","0.5","0.05","OddEven+BufferLevel","1000","0.033652933","0.00159375","52.85294117647059","0.00159375","52.85294117647059"
"x264","OddEven","ACO","0.1","0.3","0.0005","OddEven+ACO(0.3, 0.0005)","1000","0.061523568","0.002109375","48.303703703703704","0.001609375","53.029126213592235"
"x264","OddEven","ACO","0.1","0.3","0.002","OddEven+ACO(0.3, 0.002)","1000","0.073836975","0.002109375","48.303703703703704","0.001609375","53.029126213592235"
"x264","OddEven","ACO","0.1","0.3","0.008","OddEven+ACO(0.3, 0.008)","1000","0.060799904","0.002109375","48.303703703703704","0.001609375","53.029126213592235"
"x264","OddEven","ACO","0.1","0.3","0.032","OddEven+ACO(0.3, 0.032)","1000","0.06692625","0.002109375","48.303703703703704","0.001609375","53.029126213592235"
"x264","OddEven","ACO","0.1","0.4","0.0005","OddEven+ACO(0.4, 0.0005)","1000","0.0592719","0.002109375","48.303703703703704","0.001609375","53.029126213592235"
"x264","OddEven","ACO","0.1","0.4","0.002","OddEven+ACO(0.4, 0.002)","1000","0.057064266","0.002109375","48.303703703703704","0.001609375","53.029126213592235"
"x264","OddEven","ACO","0.1","0.4","0.008","OddEven+ACO(0.4, 0.008)","1000","0.060986771","0.002109375","48.303703703703704","0.001609375","53.029126213592235"
"x264","OddEven","ACO","0.1","0.4","0.032","OddEven+ACO(0.4, 0.032)","1000","0.061838546","0.002109375","48.303703703703704","0.001609375","53.029126213592235"
"x264","OddEven","ACO","0.1","0.5","0.0005","OddEven+ACO(0.5, 0.0005)","1000","0.060492876","0.002109375","48.303703703703704","0.001609375","53.029126213592235"
"x264","OddEven","ACO","0.1","0.5","0.002","OddEven+ACO(0.5, 0.002)","1000","0.043230467","0.002109375","48.303703703703704","0.001609375","53.029126213592235"
"x264","OddEven","ACO","0.1","0.5","0.008","OddEven+ACO(0.5, 0.008)","1000","0.053676943","0.002109375","48.303703703703704","0.001609375","53.029126213592235"
"x264","OddEven","ACO","0.1","0.5","0.032","OddEven+ACO(0.5, 0.032)","1000","0.066929768","0.002109375","48.303703703703704","0.001609375","53.029126213592235"
"x264","OddEven","ACO","0.1","0.6","0.0005","OddEven+ACO(0.6, 0.0005)","1000","0.053909165","0.002109375","48.303703703703704","0.001609375","53.029126213592235"
"x264","OddEven","ACO","0.1","0.6","0.002","OddEven+ACO(0.6, 0.002)","1000","0.056109494","0.002109375","48.303703703703704","0.001609375","53.029126213592235"
"x264","OddEven","ACO","0.1","0.6","0.008","OddEven+ACO(0.6, 0.008)","1000","0.07968403","0.002109375","48.303703703703704","0.001609375","53.029126213592235"
"x264","OddEven","ACO","0.1","0.6","0.032","OddEven+ACO(0.6, 0.032)","1000","0.048356074","0.002109375","48.303703703703704","0.001609375","53.029126213592235"
"x264","OddEven","ACO","0.1","0.7","0.0005","OddEven+ACO(0.7, 0.0005)","1000","0.06472118","0.002109375","48.303703703703704","0.001609375","53.029126213592235"
"x264","OddEven","ACO","0.1","0.7","0.002","OddEven+ACO(0.7, 0.002)","1000","0.054398098","0.002109375","48.303703703703704","0.001609375","53.029126213592235"
"x264","OddEven","ACO","0.1","0.7","0.008","OddEven+ACO(0.7, 0.008)","1000","0.053847434","0.002109375","48.303703703703704","0.001609375","53.029126213592235"
"x264","OddEven","ACO","0.1","0.7","0.032","OddEven+ACO(0.7, 0.032)","1000","0.064500896","0.002109375","48.303703703703704","0.001609375","53.029126213592235"
"x264","XY","Random","0.15","0.5","0.05","XY+Random","1000","0.115152267","0.002078125","53.37593984962406","0.002078125","53.37593984962406"
"x264","OddEven","BufferLevel","0.15","0.5","0.05","OddEven+BufferLevel","1000","0.076718319","0.002203125","53.5531914893617","0.002203125","53.5531914893617"
"x264","OddEven","ACO","0.15","0.3","0.0005","OddEven+ACO(0.3, 0.0005)","1000","0.091814724","0.003","51.4375","0.0025","55.08125"
"x264","OddEven","ACO","0.15","0.3","0.002","OddEven+ACO(0.3, 0.002)","1000","0.070893187","0.003","51.4375","0.0025","55.08125"
"x264","OddEven","ACO","0.15","0.3","0.008","OddEven+ACO(0.3, 0.008)","1000","0.077483107","0.003","51.4375","0.0025","55.08125"
"x264","OddEven","ACO","0.15","0.3","0.032","OddEven+ACO(0.3, 0.032)","1000","0.09660541","0.003","51.4375","0.0025","55.08125"
"x264","OddEven","ACO","0.15","0.4","0.0005","OddEven+ACO(0.4, 0.0005)","1000","0.077522085","0.003","51.4375","0.0025","55.08125"
"x264","OddEven","ACO","0.15","0.4","0.002","OddEven+ACO(0.4, 0.002)","1000","0.082482742","0.003","51.4375","0.0025","55.08125"
"x264","OddEven","ACO","0.15","0.4","0.008","OddEven+ACO(0.4, 0.008)","1000","0.073344771","0.003","51.4375","0.0025","55.08125"
"x264","OddEven","ACO","0.15","0.4","0.032","OddEven+ACO(0.4, 0.032)","1000","0.072042576","0.003","51.4375","0.0025","55.08125"
"x264","OddEven","ACO","0.15","0.5","0.0005","OddEven+ACO(0.5, 0.0005)","1000","0.073471831","0.003","51.4375","0.0025","55.08125"
"x264","OddEven","ACO","0.15","0.5","0.002","OddEven+ACO(0.5, 0.002)","1000","0.06795092","0.003","51.4375","0.0025","55.08125"
"x264","OddEven","ACO","0.15","0.5","0.008","OddEven+ACO(0.5, 0.008)","1000","0.073175575","0.003","51.4375","0.0025","55.08125"
"x264","OddEven","ACO","0.15","0.5","0.032","OddEven+ACO(0.5, 0.032)","1000","0.121014028","0.003","51.4375","0.0025","55.08125"
"x264","OddEven","ACO","0.15","0.6","0.0005","OddEven+ACO(0.6, 0.0005)","1000","0.086827852","0.003","51.4375","0.0025","55.08125"
"x264","OddEven","ACO","0.15","0.6","0.002","OddEven+ACO(0.6, 0.002)","1000","0.103087844","0.003","51.4375","0.0025","55.08125"
"x264","OddEven","ACO","0.15","0.6","0.008","OddEven+ACO(0.6, 0.008)","1000","0.08768856","0.003","51.4375","0.0025","55.08125"
"x264","OddEven","ACO","0.15","0.6","0.032","OddEven+ACO(0.6, 0.032)","1000","0.059451433","0.003","51.4375","0.0025","55.08125"
"x264","OddEven","ACO","0.15","0.7","0.0005","OddEven+ACO(0.7, 0.0005)","1000","0.079735384","0.003","51.4375","0.0025","55.08125"
"x264","OddEven","ACO","0.15","0.7","0.002","OddEven+ACO(0.7, 0.002)","1000","0.113643687","0.003","51.4375","0.0025","55.08125"
"x264","OddEven","ACO","0.15","0.7","0.008","OddEven+ACO(0.7, 0.008)","1000","0.124075247","0.003","51.4375","0.0025","55.08125"
"x264","OddEven","ACO","0.15","0.7","0.032","OddEven+ACO(0.7, 0.032)","1000","0.09296343","0.003","51.4375","0.0025","55.08125"
"x264","XY","Random","0.2","0.5","0.05","XY+Random","1000","0.070665692","0.002984375","56.397905759162306","0.002984375","56.397905759162306"
"x264","OddEven","BufferLevel","0.2","0.5","0.05","OddEven+BufferLevel","1000","0.118845","0.00309375","62.81818181818182","0.00309375","62.81818181818182"
"x264","OddEven","ACO","0.2","0.3","0.0005","OddEven+ACO(0.3, 0.0005)","1000","0.118358808","0.0036875","62.73728813559322","0.0031875","67.22549019607843"
"x264","OddEven","ACO","0.2","0.3","0.002","OddEven+ACO(0.3, 0.002)","1000","0.093111882","0.0036875","62.73728813559322","0.0031875","67.22549019607843"
"x264","OddEven","ACO","0.2","0.3","0.008","OddEven+ACO(0.3, 0.008)","1000","0.108133399","0.0036875","62.73728813559322","0.0031875","67.22549019607843"
"x264","OddEven","ACO","0.2","0.3","0.032","OddEven+ACO(0.3, 0.032)","1000","0.118060888","0.0036875","62.73728813559322","0.0031875","67.22549019607843"
"x264","OddEven","ACO","0.2","0.4","0.0005","OddEven+ACO(0.4, 0.0005)","1000","0.117311095","0.0036875","62.73728813559322","0.0031875","67.22549019607843"
"x264","OddEven","ACO","0.2","0.4","0.002","OddEven+ACO(0.4, 0.002)","1000","0.074045176","0.0036875","62.73728813559322","0.0031875","67.22549019607843"
"x264","OddEven","ACO","0.2","0.4","0.008","OddEven+ACO(0.4, 0.008)","1000","0.073638037","0.0036875","62.73728813559322","0.0031875","67.22549019607843"
"x264","OddEven","ACO","0.2","0.4","0.032","OddEven+ACO(0.4, 0.032)","1000","0.09050389","0.0036875","62.73728813559322","0.0031875","67.22549019607843"
"x264","OddEven","ACO","0.2","0.5","0.0005","OddEven+ACO(0.5, 0.0005)","1000","0.06290965","0.0036875","62.73728813559322","0.0031875","67.22549019607843"
"x264","OddEven","ACO","0.2","0.5","0.002","OddEven+ACO(0.5, 0.002)","1000","0.078800342","0.0036875","62.73728813559322","0.0031875","67.22549019607843"
"x264","OddEven","ACO","0.2","0.5","0.008","OddEven+ACO(0.5, 0.008)","1000","0.075248008","0.0036875","62.73728813559322","0.0031875","67.22549019607843"
"x264","OddEven","ACO","0.2","0.5","0.032","OddEven+ACO(0.5, 0.032)","1000","0.086953756","0.0036875","62.73728813559322","0.0031875","67.22549019607843"
"x264","OddEven","ACO","0.2","0.6","0.0005","OddEven+ACO(0.6, 0.0005)","1000","0.101785218","0.0036875","62.73728813559322","0.0031875","67.22549019607843"
