"Benchmark","Routing","Selection","Data Packet Injection Rate","ACO Selection Alpha","Reinforcement Factor","Algorithm","Max Cycles","Simulation Time (Seconds)","Throughput","Average Packet Delay","Payload Throughput","Average Payload Packet Delay"
"Uniform","XY","Random","0.105","0.5","0.05","XY+Random","1000","1.837057656","0.09784375","59.358192270839986","0.09784375","59.358192270839986"
"Uniform","OddEven","BufferLevel","0.105","0.5","0.05","OddEven+BufferLevel","1000","2.52355563","0.09534375","80.31071779744346","0.09534375","80.31071779744346"
"Uniform","OddEven","ACO","0.105","0.3","0.0005","OddEven+ACO(0.3, 0.0005)","1000","2.027349913","0.095703125","76.21534693877551","0.0954375","76.103798297315"
"Uniform","OddEven","ACO","0.105","0.3","0.002","OddEven+ACO(0.3, 0.002)","1000","2.403144737","0.09525","77.28805774278216","0.095","77.18536184210527"
"Uniform","OddEven","ACO","0.105","0.3","0.008","OddEven+ACO(0.3, 0.008)","1000","2.342246498","0.094921875","79.04526748971193","0.094671875","78.92985641194916"
"Uniform","OddEven","ACO","0.105","0.3","0.032","OddEven+ACO(0.3, 0.032)","1000","2.316618027","0.0946875","76.32343234323433","0.094421875","76.26311434717856"
"Uniform","OddEven","ACO","0.105","0.4","0.0005","OddEven+ACO(0.4, 0.0005)","1000","2.199522909","0.0946875","78.85643564356435","0.094421875","78.7509515141486"
"Uniform","OddEven","ACO","0.105","0.4","0.002","OddEven+ACO(0.4, 0.002)","1000","2.403397231","0.094015625","78.79125810204421","0.09378125","78.74241919360213"
"Uniform","OddEven","ACO","0.105","0.4","0.008","OddEven+ACO(0.4, 0.008)","1000","2.318798195","0.094984375","79.21779898009541","0.09475","79.1480870712401"
"Uniform","OddEven","ACO","0.105","0.4","0.032","OddEven+ACO(0.4, 0.032)","1000","2.397039702","0.09325","82.28367962466488","0.093","82.20043682795699"
"Uniform","OddEven","ACO","0.105","0.5","0.0005","OddEven+ACO(0.5, 0.0005)","1000","2.066653207","0.0944375","81.85506287227003","0.094171875","81.77650572424092"
"Uniform","OddEven","ACO","0.105","0.5","0.002","OddEven+ACO(0.5, 0.002)","1000","2.219301672","0.093796875","79.86540063301682","0.093546875","79.7890429263404"
"Uniform","OddEven","ACO","0.105","0.5","0.008","OddEven+ACO(0.5, 0.008)","1000","2.599763288","0.094203125","80.87493780063029","0.093953125","80.79843672043904"
"Uniform","OddEven","ACO","0.105","0.5","0.032","OddEven+ACO(0.5, 0.032)","1000","2.214247097","0.094203125","78.15707414164869","0.093953125","78.05887244304007"
"Uniform","OddEven","ACO","0.105","0.6","0.0005","OddEven+ACO(0.6, 0.0005)","1000","2.376243277","0.0941875","80.01310550763105","0.0939375","79.9268130405855"
"Uniform","OddEven","ACO","0.105","0.6","0.002","OddEven+ACO(0.6, 0.002)","1000","2.322904852","0.093515625","80.94502923976609","0.093265625","80.88205729602949"
"Uniform","OddEven","ACO","0.105","0.6","0.008","OddEven+ACO(0.6, 0.008)","1000","2.3865904479999998","0.09359375","80.30267111853088","0.093328125","80.24995814498577"
"Uniform","OddEven","ACO","0.105","0.6","0.032","OddEven+ACO(0.6, 0.032)","1000","2.069532182","0.09378125","78.76791069643453","0.093515625","78.69624060150376"
"Uniform","OddEven","ACO","0.105","0.7","0.0005","OddEven+ACO(0.7, 0.0005)","1000","2.042079016","0.094875","80.70520421607378","0.094625","80.67222589167767"
"Uniform","OddEven","ACO","0.105","0.7","0.002","OddEven+ACO(0.7, 0.002)","1000","2.30136145","0.0938125","81.86442371752165","0.0935625","81.79492317969272"
"Uniform","OddEven","ACO","0.105","0.7","0.008","OddEven+ACO(0.7, 0.008)","1000","2.167126897","0.093203125","79.91768650461023","0.0929375","79.8016139878951"
"Uniform","OddEven","ACO","0.105","0.7","0.032","OddEven+ACO(0.7, 0.032)","1000","2.180940016","0.09415625","78.81496846996349","0.093890625","78.71326343817607"
