"Benchmark","Routing","Selection","Data Packet Injection Rate","ACO Selection Alpha","Reinforcement Factor","Algorithm","Max Cycles","Simulation Time (Seconds)","Throughput","Average Packet Delay","Payload Throughput","Average Payload Packet Delay"
"Transpose2","XY","Random","0.015","0.5","0.05","XY+Random","1000","0.249528343","0.012671875","40.965474722564736","0.012671875","40.965474722564736"
"Transpose2","OddEven","BufferLevel","0.015","0.5","0.05","OddEven+BufferLevel","1000","0.352208472","0.012171875","40.951219512195124","0.012171875","40.951219512195124"
"Transpose2","OddEven","ACO","0.015","0.3","0.0005","OddEven+ACO(0.3, 0.0005)","1000","0.335910651","0.013140625","40.349583828775266","0.012921875","40.69528415961306"
"Transpose2","OddEven","ACO","0.015","0.3","0.002","OddEven+ACO(0.3, 0.002)","1000","0.272720879","0.013140625","40.35552913198573","0.012921875","40.70133010882709"
"Transpose2","OddEven","ACO","0.015","0.3","0.008","OddEven+ACO(0.3, 0.008)","1000","0.31296955","0.013140625","40.351961950059454","0.012921875","40.69770253929867"
"Transpose2","OddEven","ACO","0.015","0.3","0.032","OddEven+ACO(0.3, 0.032)","1000","0.347899476","0.013140625","40.35552913198573","0.012921875","40.70133010882709"
"Transpose2","OddEven","ACO","0.015","0.4","0.0005","OddEven+ACO(0.4, 0.0005)","1000","0.483649519","0.013140625","40.35552913198573","0.012921875","40.70133010882709"
"Transpose2","OddEven","ACO","0.015","0.4","0.002","OddEven+ACO(0.4, 0.002)","1000","0.37696792","0.013140625","40.351961950059454","0.012921875","40.69770253929867"
"Transpose2","OddEven","ACO","0.015","0.4","0.008","OddEven+ACO(0.4, 0.008)","1000","0.43690813","0.013140625","40.349583828775266","0.012921875","40.69528415961306"
"Transpose2","OddEven","ACO","0.015","0.4","0.032","OddEven+ACO(0.4, 0.032)","1000","0.238958466","0.013140625","40.35077288941736","0.012921875","40.696493349455864"
"Transpose2","OddEven","ACO","0.015","0.5","0.0005","OddEven+ACO(0.5, 0.0005)","1000","0.363985469","0.013140625","40.353151010701545","0.012921875","40.69891172914148"
"Transpose2","OddEven","ACO","0.015","0.5","0.002","OddEven+ACO(0.5, 0.002)","1000","0.333704529","0.013140625","40.357907253269914","0.012921875","40.703748488512694"
"Transpose2","OddEven","ACO","0.015","0.5","0.008","OddEven+ACO(0.5, 0.008)","1000","0.291834234","0.013140625","40.349583828775266","0.012921875","40.69528415961306"
"Transpose2","OddEven","ACO","0.015","0.5","0.032","OddEven+ACO(0.5, 0.032)","1000","0.346103685","0.013140625","40.35077288941736","0.012921875","40.696493349455864"
"Transpose2","OddEven","ACO","0.015","0.6","0.0005","OddEven+ACO(0.6, 0.0005)","1000","0.28170196","0.013140625","40.357907253269914","0.012921875","40.703748488512694"
"Transpose2","OddEven","ACO","0.015","0.6","0.002","OddEven+ACO(0.6, 0.002)","1000","0.341317408","0.013140625","40.349583828775266","0.012921875","40.69528415961306"
"Transpose2","OddEven","ACO","0.015","0.6","0.008","OddEven+ACO(0.6, 0.008)","1000","0.257288043","0.013140625","40.351961950059454","0.012921875","40.69770253929867"
"Transpose2","OddEven","ACO","0.015","0.6","0.032","OddEven+ACO(0.6, 0.032)","1000","0.310519557","0.013140625","40.353151010701545","0.012921875","40.69891172914148"
"Transpose2","OddEven","ACO","0.015","0.7","0.0005","OddEven+ACO(0.7, 0.0005)","1000","0.328905435","0.013140625","40.349583828775266","0.012921875","40.69528415961306"
"Transpose2","OddEven","ACO","0.015","0.7","0.002","OddEven+ACO(0.7, 0.002)","1000","0.282512438","0.013140625","40.351961950059454","0.012921875","40.69770253929867"
"Transpose2","OddEven","ACO","0.015","0.7","0.008","OddEven+ACO(0.7, 0.008)","1000","0.33813799","0.013140625","40.349583828775266","0.012921875","40.69528415961306"
"Transpose2","OddEven","ACO","0.015","0.7","0.032","OddEven+ACO(0.7, 0.032)","1000","0.297265575","0.013140625","40.354340071343636","0.012921875","40.70012091898428"
"Transpose2","XY","Random","0.03","0.5","0.05","XY+Random","1000","0.643677888","0.024546875","45.895607893061744","0.024546875","45.895607893061744"
"Transpose2","OddEven","BufferLevel","0.03","0.5","0.05","OddEven+BufferLevel","1000","0.512715846","0.02503125","42.414481897627965","0.02503125","42.414481897627965"
"Transpose2","OddEven","ACO","0.03","0.3","0.0005","OddEven+ACO(0.3, 0.0005)","1000","0.713108225","0.025203125","42.19404835709857","0.024984375","42.38461538461539"
"Transpose2","OddEven","ACO","0.03","0.3","0.002","OddEven+ACO(0.3, 0.002)","1000","0.938526632","0.025203125","42.19156850588965","0.024984375","42.38211382113821"
"Transpose2","OddEven","ACO","0.03","0.3","0.008","OddEven+ACO(0.3, 0.008)","1000","0.495922185","0.025203125","42.18908865468072","0.024984375","42.37961225766104"
"Transpose2","OddEven","ACO","0.03","0.3","0.032","OddEven+ACO(0.3, 0.032)","1000","0.458428689","0.025203125","42.190948543087416","0.024984375","42.38148843026892"
"Transpose2","OddEven","ACO","0.03","0.4","0.0005","OddEven+ACO(0.4, 0.0005)","1000","0.473633785","0.025203125","42.19032858028518","0.024984375","42.38086303939963"
"Transpose2","OddEven","ACO","0.03","0.4","0.002","OddEven+ACO(0.4, 0.002)","1000","0.444518015","0.025203125","42.1828890266584","0.024984375","42.373358348968104"
"Transpose2","OddEven","ACO","0.03","0.4","0.008","OddEven+ACO(0.4, 0.008)","1000","0.55025247","0.025203125","42.183508989460634","0.024984375","42.3739837398374"
"Transpose2","OddEven","ACO","0.03","0.4","0.032","OddEven+ACO(0.4, 0.032)","1000","0.648019464","0.025203125","42.19528828270304","0.024984375","42.38586616635397"
"Transpose2","OddEven","ACO","0.03","0.5","0.0005","OddEven+ACO(0.5, 0.0005)","1000","0.592661728","0.025203125","42.177929324240544","0.024984375","42.36835522201376"
"Transpose2","OddEven","ACO","0.03","0.5","0.002","OddEven+ACO(0.5, 0.002)","1000","0.547048732","0.025203125","42.18908865468072","0.024984375","42.37961225766104"
"Transpose2","OddEven","ACO","0.03","0.5","0.008","OddEven+ACO(0.5, 0.008)","1000","0.64096684","0.025203125","42.194668319900806","0.024984375","42.38586616635397"
"Transpose2","OddEven","ACO","0.03","0.5","0.032","OddEven+ACO(0.5, 0.032)","1000","0.635201272","0.025203125","42.19528828270304","0.024984375","42.38586616635397"
"Transpose2","OddEven","ACO","0.03","0.6","0.0005","OddEven+ACO(0.6, 0.0005)","1000","0.833098426","0.025203125","42.19590824550527","0.024984375","42.386491557223266"
"Transpose2","OddEven","ACO","0.03","0.6","0.002","OddEven+ACO(0.6, 0.002)","1000","0.725929728","0.025203125","42.18970861748295","0.024984375","42.38023764853033"
"Transpose2","OddEven","ACO","0.03","0.6","0.008","OddEven+ACO(0.6, 0.008)","1000","0.562016493","0.025203125","42.18660880347179","0.024984375","42.37711069418386"
"Transpose2","OddEven","ACO","0.03","0.6","0.032","OddEven+ACO(0.6, 0.032)","1000","0.629002389","0.025203125","42.18598884066956","0.024984375","42.376485303314574"
"Transpose2","OddEven","ACO","0.03","0.7","0.0005","OddEven+ACO(0.7, 0.0005)","1000","0.586289018","0.025203125","42.18784872907626","0.024984375","42.37836147592245"
"Transpose2","OddEven","ACO","0.03","0.7","0.002","OddEven+ACO(0.7, 0.002)","1000","0.541448069","0.025203125","42.18970861748295","0.024984375","42.38023764853033"
"Transpose2","OddEven","ACO","0.03","0.7","0.008","OddEven+ACO(0.7, 0.008)","1000","0.586143967","0.025203125","42.19404835709857","0.024984375","42.38461538461539"
"Transpose2","OddEven","ACO","0.03","0.7","0.032","OddEven+ACO(0.7, 0.032)","1000","0.61902051","0.025203125","42.18908865468072","0.024984375","42.37961225766104"
"Transpose2","XY","Random","0.045","0.5","0.05","XY+Random","1000","1.172719189","0.034375","79.66409090909092","0.034375","79.66409090909092"
"Transpose2","OddEven","BufferLevel","0.045","0.5","0.05","OddEven+BufferLevel","1000","1.00010349","0.036921875","45.33685992382564","0.036921875","45.33685992382564"
"Transpose2","OddEven","ACO","0.045","0.3","0.0005","OddEven+ACO(0.3, 0.0005)","1000","0.742276766","0.03771875","45.48384424192212","0.0375","45.622083333333336"
"Transpose2","OddEven","ACO","0.045","0.3","0.002","OddEven+ACO(0.3, 0.002)","1000","0.805196438","0.03771875","45.63214581607291","0.0375","45.77125"
"Transpose2","OddEven","ACO","0.045","0.3","0.008","OddEven+ACO(0.3, 0.008)","1000","0.764737529","0.03771875","45.59652029826015","0.0375","45.735416666666666"
"Transpose2","OddEven","ACO","0.045","0.3","0.032","OddEven+ACO(0.3, 0.032)","1000","0.814636159","0.037703125","45.58226274347285","0.037484375","45.721133805752395"
"Transpose2","OddEven","ACO","0.045","0.4","0.0005","OddEven+ACO(0.4, 0.0005)","1000","0.875094335","0.03778125","45.474772539288665","0.0375625","45.61272878535774"
"Transpose2","OddEven","ACO","0.045","0.4","0.002","OddEven+ACO(0.4, 0.002)","1000","0.820988012","0.0376875","45.242537313432834","0.03746875","45.37864887406172"
"Transpose2","OddEven","ACO","0.045","0.4","0.008","OddEven+ACO(0.4, 0.008)","1000","0.8749742","0.03778125","45.49917287014061","0.0375625","45.63727121464226"
"Transpose2","OddEven","ACO","0.045","0.4","0.032","OddEven+ACO(0.4, 0.032)","1000","0.855122738","0.03771875","45.54432477216238","0.0375","45.682916666666664"
"Transpose2","OddEven","ACO","0.045","0.5","0.0005","OddEven+ACO(0.5, 0.0005)","1000","0.879615919","0.037640625","45.69613947696139","0.037421875","45.83590814196242"
"Transpose2","OddEven","ACO","0.045","0.5","0.002","OddEven+ACO(0.5, 0.002)","1000","0.860733094","0.0376875","45.339966832504146","0.03746875","45.476647206005005"
"Transpose2","OddEven","ACO","0.045","0.5","0.008","OddEven+ACO(0.5, 0.008)","1000","0.688302355","0.03765625","45.933195020746886","0.0374375","46.07470784641068"
"Transpose2","OddEven","ACO","0.045","0.5","0.032","OddEven+ACO(0.5, 0.032)","1000","0.804166067","0.03778125","44.99669148056245","0.0375625","45.131863560732114"
"Transpose2","OddEven","ACO","0.045","0.6","0.0005","OddEven+ACO(0.6, 0.0005)","1000","0.762662982","0.03765625","45.45850622406639","0.0374375","45.59682804674458"
"Transpose2","OddEven","ACO","0.045","0.6","0.002","OddEven+ACO(0.6, 0.002)","1000","0.925991644","0.03771875","45.4884009942005","0.0375","45.626666666666665"
"Transpose2","OddEven","ACO","0.045","0.6","0.008","OddEven+ACO(0.6, 0.008)","1000","0.643437109","0.0376875","45.21310116086236","0.03746875","45.34945788156797"
"Transpose2","OddEven","ACO","0.045","0.6","0.032","OddEven+ACO(0.6, 0.032)","1000","0.699641961","0.037703125","45.275590551181104","0.037484375","45.41225510629429"
"Transpose2","OddEven","ACO","0.045","0.7","0.0005","OddEven+ACO(0.7, 0.0005)","1000","0.812105019","0.03771875","45.1980115990058","0.0375","45.334583333333335"
"Transpose2","OddEven","ACO","0.045","0.7","0.002","OddEven+ACO(0.7, 0.002)","1000","0.893623736","0.03765625","45.56804979253112","0.0374375","45.70575959933222"
"Transpose2","OddEven","ACO","0.045","0.7","0.008","OddEven+ACO(0.7, 0.008)","1000","0.798905803","0.037671875","45.38697635835753","0.037453125","45.52482269503546"
"Transpose2","OddEven","ACO","0.045","0.7","0.032","OddEven+ACO(0.7, 0.032)","1000","0.806960193","0.037734375","45.55527950310559","0.037515625","45.69346105789254"
"Transpose2","XY","Random","0.06","0.5","0.05","XY+Random","1000","1.638842773","0.0398125","98.49018838304552","0.0398125","98.49018838304552"
"Transpose2","OddEven","BufferLevel","0.06","0.5","0.05","OddEven+BufferLevel","1000","1.120854228","0.04871875","55.89223861449647","0.04871875","55.89223861449647"
"Transpose2","OddEven","ACO","0.06","0.3","0.0005","OddEven+ACO(0.3, 0.0005)","1000","1.199778299","0.0485","56.26514175257732","0.04828125","56.423624595469256"
"Transpose2","OddEven","ACO","0.06","0.3","0.002","OddEven+ACO(0.3, 0.002)","1000","1.026844877","0.04865625","56.28131021194605","0.0484375","56.43838709677419"
"Transpose2","OddEven","ACO","0.06","0.3","0.008","OddEven+ACO(0.3, 0.008)","1000","0.801191124","0.048828125","54.4944","0.048609375","54.643201542912244"
"Transpose2","OddEven","ACO","0.06","0.3","0.032","OddEven+ACO(0.3, 0.032)","1000","0.933487683","0.048625","55.19505141388175","0.04840625","55.34602969657844"
"Transpose2","OddEven","ACO","0.06","0.4","0.0005","OddEven+ACO(0.4, 0.0005)","1000","0.892967355","0.04859375","55.45466237942122","0.048375","55.60206718346253"
"Transpose2","OddEven","ACO","0.06","0.4","0.002","OddEven+ACO(0.4, 0.002)","1000","1.369378805","0.04871875","55.65234124438743","0.0485","55.80702319587629"
"Transpose2","OddEven","ACO","0.06","0.4","0.008","OddEven+ACO(0.4, 0.008)","1000","1.127687694","0.048828125","54.87616","0.048609375","55.02635808421729"
"Transpose2","OddEven","ACO","0.06","0.4","0.032","OddEven+ACO(0.4, 0.032)","1000","1.04988689","0.048515625","55.90660225442834","0.048296875","56.062762859915885"
"Transpose2","OddEven","ACO","0.06","0.5","0.0005","OddEven+ACO(0.5, 0.0005)","1000","1.000510794","0.048765625","54.6392181992951","0.048546875","54.78789829417445"
"Transpose2","OddEven","ACO","0.06","0.5","0.002","OddEven+ACO(0.5, 0.002)","1000","0.892060649","0.048734375","54.73709522282783","0.048515625","54.885346215781"
"Transpose2","OddEven","ACO","0.06","0.5","0.008","OddEven+ACO(0.5, 0.008)","1000","1.047793153","0.048703125","55.01347449470645","0.048484375","55.16339026748308"
"Transpose2","OddEven","ACO","0.06","0.5","0.032","OddEven+ACO(0.5, 0.032)","1000","1.3127705760000001","0.048640625","54.989720526823","0.048421875","55.130364633752826"
"Transpose2","OddEven","ACO","0.06","0.6","0.0005","OddEven+ACO(0.6, 0.0005)","1000","1.071707888","0.04846875","54.50322372662798","0.04825","54.6544689119171"
"Transpose2","OddEven","ACO","0.06","0.6","0.002","OddEven+ACO(0.6, 0.002)","1000","1.062588834","0.048828125","55.58144","0.048609375","55.729026036644164"
"Transpose2","OddEven","ACO","0.06","0.6","0.008","OddEven+ACO(0.6, 0.008)","1000","1.496572821","0.048625","55.754498714652954","0.04840625","55.90606843124596"
"Transpose2","OddEven","ACO","0.06","0.6","0.032","OddEven+ACO(0.6, 0.032)","1000","1.15900736","0.04875","55.303525641025644","0.04853125","55.45524790727624"
"Transpose2","OddEven","ACO","0.06","0.7","0.0005","OddEven+ACO(0.7, 0.0005)","1000","1.139069779","0.048875","54.16783887468031","0.04865625","54.3131021194605"
"Transpose2","OddEven","ACO","0.06","0.7","0.002","OddEven+ACO(0.7, 0.002)","1000","1.238960572","0.0486875","55.00192554557125","0.04846875","55.14990328820116"
"Transpose2","OddEven","ACO","0.06","0.7","0.008","OddEven+ACO(0.7, 0.008)","1000","1.2576551409999999","0.048484375","55.8001933612633","0.048265625","55.95144059566203"
"Transpose2","OddEven","ACO","0.06","0.7","0.032","OddEven+ACO(0.7, 0.032)","1000","1.364326871","0.048546875","56.26327647248149","0.048328125","56.42095053346266"
"Transpose2","XY","Random","0.075","0.5","0.05","XY+Random","1000","2.038773799","0.04265625","117.53296703296704","0.04265625","117.53296703296704"
"Transpose2","OddEven","BufferLevel","0.075","0.5","0.05","OddEven+BufferLevel","1000","2.008954055","0.05671875","87.28429752066116","0.05671875","87.28429752066116"
"Transpose2","OddEven","ACO","0.075","0.3","0.0005","OddEven+ACO(0.3, 0.0005)","1000","1.589703537","0.0565625","85.5389502762431","0.05634375","85.77759290072102"
"Transpose2","OddEven","ACO","0.075","0.3","0.002","OddEven+ACO(0.3, 0.002)","1000","1.574425583","0.056625","83.46302428256071","0.05640625","83.6623268698061"
"Transpose2","OddEven","ACO","0.075","0.3","0.008","OddEven+ACO(0.3, 0.008)","1000","1.77949627","0.056453125","82.38776639911431","0.056234375","82.59183106418449"
"Transpose2","OddEven","ACO","0.075","0.3","0.032","OddEven+ACO(0.3, 0.032)","1000","1.616404556","0.05665625","82.27799227799228","0.0564375","82.4969545957918"
"Transpose2","OddEven","ACO","0.075","0.4","0.0005","OddEven+ACO(0.4, 0.0005)","1000","1.638479174","0.05659375","81.25041413583655","0.056375","81.44151884700665"
"Transpose2","OddEven","ACO","0.075","0.4","0.002","OddEven+ACO(0.4, 0.002)","1000","1.6194871690000001","0.056828125","82.1198790211713","0.056609375","82.32486889318244"
"Transpose2","OddEven","ACO","0.075","0.4","0.008","OddEven+ACO(0.4, 0.008)","1000","1.7326137990000001","0.056453125","84.49737060614447","0.056234375","84.7101972770214"
"Transpose2","OddEven","ACO","0.075","0.4","0.032","OddEven+ACO(0.4, 0.032)","1000","1.668683211","0.056546875","84.77093119646311","0.056328125","85.01553398058252"
"Transpose2","OddEven","ACO","0.075","0.5","0.0005","OddEven+ACO(0.5, 0.0005)","1000","1.573328555","0.0566875","81.80512679162072","0.05646875","81.99778638627559"
"Transpose2","OddEven","ACO","0.075","0.5","0.002","OddEven+ACO(0.5, 0.002)","1000","1.757681268","0.05659375","81.76007730535616","0.056375","81.990022172949"
"Transpose2","OddEven","ACO","0.075","0.5","0.008","OddEven+ACO(0.5, 0.008)","1000","1.452019803","0.05615625","83.21480244852532","0.0559375","83.41033519553072"
"Transpose2","OddEven","ACO","0.075","0.5","0.032","OddEven+ACO(0.5, 0.032)","1000","1.748317391","0.0565625","84.4756906077348","0.05634375","84.68691070438159"
"Transpose2","OddEven","ACO","0.075","0.6","0.0005","OddEven+ACO(0.6, 0.0005)","1000","1.708342328","0.056734375","83.89699807215644","0.056515625","84.12662427426044"
"Transpose2","OddEven","ACO","0.075","0.6","0.002","OddEven+ACO(0.6, 0.002)","1000","1.624045679","0.0565625","82.83259668508288","0.05634375","83.05851358846367"
"Transpose2","OddEven","ACO","0.075","0.6","0.008","OddEven+ACO(0.6, 0.008)","1000","1.60895278","0.056546875","82.3484387952473","0.056328125","82.56782246879334"
"Transpose2","OddEven","ACO","0.075","0.6","0.032","OddEven+ACO(0.6, 0.032)","1000","1.8302121599999999","0.0564375","85.96788482834994","0.05621875","86.20316842690383"
"Transpose2","OddEven","ACO","0.075","0.7","0.0005","OddEven+ACO(0.7, 0.0005)","1000","1.7101468629999999","0.05646875","82.70143884892086","0.05625","82.91944444444445"
"Transpose2","OddEven","ACO","0.075","0.7","0.002","OddEven+ACO(0.7, 0.002)","1000","1.748501248","0.05659375","82.35615681943678","0.056375","82.58564301552106"
"Transpose2","OddEven","ACO","0.075","0.7","0.008","OddEven+ACO(0.7, 0.008)","1000","1.717065909","0.05659375","84.13528437327443","0.056375","84.33231707317073"
"Transpose2","OddEven","ACO","0.075","0.7","0.032","OddEven+ACO(0.7, 0.032)","1000","1.6551361679999999","0.0564375","83.15836101882614","0.05621875","83.36937187326292"
"Transpose2","XY","Random","0.09","0.5","0.05","XY+Random","1000","2.486451236","0.045296875","129.41600551914453","0.045296875","129.41600551914453"
"Transpose2","OddEven","BufferLevel","0.09","0.5","0.05","OddEven+BufferLevel","1000","2.441527129","0.062078125","118.38686131386861","0.062078125","118.38686131386861"
"Transpose2","OddEven","ACO","0.09","0.3","0.0005","OddEven+ACO(0.3, 0.0005)","1000","2.317506699","0.060515625","108.21740253033823","0.060296875","108.45633583830008"
"Transpose2","OddEven","ACO","0.09","0.3","0.002","OddEven+ACO(0.3, 0.002)","1000","2.280482233","0.06059375","110.92728210417741","0.060375","111.19254658385093"
"Transpose2","OddEven","ACO","0.09","0.3","0.008","OddEven+ACO(0.3, 0.008)","1000","2.169631904","0.060578125","109.36832602527727","0.060359375","109.6438001553197"
"Transpose2","OddEven","ACO","0.09","0.3","0.032","OddEven+ACO(0.3, 0.032)","1000","2.443117735","0.06025","111.54797717842324","0.06003125","111.81155648099949"
"Transpose2","OddEven","ACO","0.09","0.4","0.0005","OddEven+ACO(0.4, 0.0005)","1000","2.379752172","0.060328125","110.9044289044289","0.060109375","111.17442162724201"
"Transpose2","OddEven","ACO","0.09","0.4","0.002","OddEven+ACO(0.4, 0.002)","1000","2.204266876","0.060875","109.12987679671458","0.06065625","109.39206594538898"
"Transpose2","OddEven","ACO","0.09","0.4","0.008","OddEven+ACO(0.4, 0.008)","1000","1.898079539","0.060609375","110.0247486465584","0.060390625","110.29909443725744"
"Transpose2","OddEven","ACO","0.09","0.4","0.032","OddEven+ACO(0.4, 0.032)","1000","2.099948217","0.060015625","111.42280656079146","0.059796875","111.67520250849229"
"Transpose2","OddEven","ACO","0.09","0.5","0.0005","OddEven+ACO(0.5, 0.0005)","1000","2.048293615","0.06059375","110.09979370809695","0.060375","110.38198757763975"
"Transpose2","OddEven","ACO","0.09","0.5","0.002","OddEven+ACO(0.5, 0.002)","1000","2.236979671","0.0605625","108.97213622291022","0.06034375","109.22863801139306"
"Transpose2","OddEven","ACO","0.09","0.5","0.008","OddEven+ACO(0.5, 0.008)","1000","2.200726149","0.060625","106.31494845360825","0.06040625","106.554578375582"
