"Benchmark","Routing","Selection","Data Packet Injection Rate","ACO Selection Alpha","Reinforcement Factor","Algorithm","Max Cycles","Simulation Time (Seconds)","Throughput","Average Packet Delay","Payload Throughput","Average Payload Packet Delay"
"Uniform","XY","Random","0.015","0.5","0.05","XY+Random","1000","0.318837862","0.014328125","37.639040348964016","0.014328125","37.639040348964016"
"Uniform","OddEven","BufferLevel","0.015","0.5","0.05","OddEven+BufferLevel","1000","0.277352469","0.014296875","37.511475409836066","0.014296875","37.511475409836066"
"Uniform","OddEven","ACO","0.015","0.3","0.0005","OddEven+ACO(0.3, 0.0005)","1000","0.326620665","0.015390625","37.857868020304565","0.015109375","37.90279214064116"
"Uniform","OddEven","ACO","0.015","0.3","0.002","OddEven+ACO(0.3, 0.002)","1000","0.272453646","0.015390625","37.860913705583755","0.015109375","37.90486039296794"
"Uniform","OddEven","ACO","0.015","0.3","0.008","OddEven+ACO(0.3, 0.008)","1000","0.272818773","0.015390625","37.871065989847715","0.015109375","37.91520165460186"
"Uniform","OddEven","ACO","0.015","0.3","0.032","OddEven+ACO(0.3, 0.032)","1000","0.308001859","0.015390625","37.850761421319795","0.015109375","37.89451913133402"
"Uniform","OddEven","ACO","0.015","0.4","0.0005","OddEven+ACO(0.4, 0.0005)","1000","0.36279499","0.015390625","37.871065989847715","0.015109375","37.91520165460186"
"Uniform","OddEven","ACO","0.015","0.4","0.002","OddEven+ACO(0.4, 0.002)","1000","0.308989937","0.015390625","37.860913705583755","0.015109375","37.90486039296794"
"Uniform","OddEven","ACO","0.015","0.4","0.008","OddEven+ACO(0.4, 0.008)","1000","0.27272649","0.015390625","37.871065989847715","0.015109375","37.91520165460186"
"Uniform","OddEven","ACO","0.015","0.4","0.032","OddEven+ACO(0.4, 0.032)","1000","0.31078681","0.015390625","37.860913705583755","0.015109375","37.90486039296794"
"Uniform","OddEven","ACO","0.015","0.5","0.0005","OddEven+ACO(0.5, 0.0005)","1000","0.312463771","0.015390625","37.860913705583755","0.015109375","37.90486039296794"
"Uniform","OddEven","ACO","0.015","0.5","0.002","OddEven+ACO(0.5, 0.002)","1000","0.261013656","0.015390625","37.86294416243655","0.015109375","37.90692864529473"
"Uniform","OddEven","ACO","0.015","0.5","0.008","OddEven+ACO(0.5, 0.008)","1000","0.317951358","0.015390625","37.868020304568525","0.015109375","37.91209927611168"
"Uniform","OddEven","ACO","0.015","0.5","0.032","OddEven+ACO(0.5, 0.032)","1000","0.287167219","0.015390625","37.868020304568525","0.015109375","37.91209927611168"
"Uniform","OddEven","ACO","0.015","0.6","0.0005","OddEven+ACO(0.6, 0.0005)","1000","0.334983297","0.015390625","37.867005076142135","0.015109375","37.91209927611168"
"Uniform","OddEven","ACO","0.015","0.6","0.002","OddEven+ACO(0.6, 0.002)","1000","0.275381067","0.015390625","37.848730964467","0.015109375","37.89245087900724"
"Uniform","OddEven","ACO","0.015","0.6","0.008","OddEven+ACO(0.6, 0.008)","1000","0.362249229","0.015390625","37.85989847715736","0.015109375","37.90486039296794"
"Uniform","OddEven","ACO","0.015","0.6","0.032","OddEven+ACO(0.6, 0.032)","1000","0.298652181","0.015390625","37.868020304568525","0.015109375","37.91313340227508"
"Uniform","OddEven","ACO","0.015","0.7","0.0005","OddEven+ACO(0.7, 0.0005)","1000","0.308236555","0.015390625","37.86294416243655","0.015109375","37.90692864529473"
"Uniform","OddEven","ACO","0.015","0.7","0.002","OddEven+ACO(0.7, 0.002)","1000","0.263753133","0.015390625","37.871065989847715","0.015109375","37.91520165460186"
"Uniform","OddEven","ACO","0.015","0.7","0.008","OddEven+ACO(0.7, 0.008)","1000","0.371935392","0.015390625","37.84771573604061","0.015109375","37.891416752843845"
"Uniform","OddEven","ACO","0.015","0.7","0.032","OddEven+ACO(0.7, 0.032)","1000","0.382098581","0.015390625","37.863959390862945","0.015109375","37.907962771458116"
"Uniform","XY","Random","0.03","0.5","0.05","XY+Random","1000","0.621895302","0.0284375","37.44615384615385","0.0284375","37.44615384615385"
"Uniform","OddEven","BufferLevel","0.03","0.5","0.05","OddEven+BufferLevel","1000","0.456784062","0.02821875","38.43466223698782","0.02821875","38.43466223698782"
"Uniform","OddEven","ACO","0.03","0.3","0.0005","OddEven+ACO(0.3, 0.0005)","1000","0.534663063","0.028578125","37.80207763805358","0.028203125","37.89750692520776"
"Uniform","OddEven","ACO","0.03","0.3","0.002","OddEven+ACO(0.3, 0.002)","1000","0.500859082","0.028578125","37.80207763805358","0.028203125","37.89750692520776"
"Uniform","OddEven","ACO","0.03","0.3","0.008","OddEven+ACO(0.3, 0.008)","1000","0.449944748","0.028578125","37.779661016949156","0.028203125","37.875346260387815"
"Uniform","OddEven","ACO","0.03","0.3","0.032","OddEven+ACO(0.3, 0.032)","1000","0.578993821","0.028578125","37.79715691634773","0.028203125","37.89252077562327"
"Uniform","OddEven","ACO","0.03","0.4","0.0005","OddEven+ACO(0.4, 0.0005)","1000","0.633529384","0.028578125","37.80043739748496","0.028203125","37.89584487534626"
"Uniform","OddEven","ACO","0.03","0.4","0.002","OddEven+ACO(0.4, 0.002)","1000","0.614815276","0.028578125","37.79825041006014","0.028203125","37.893628808864264"
"Uniform","OddEven","ACO","0.03","0.4","0.008","OddEven+ACO(0.4, 0.008)","1000","0.552267506","0.028578125","37.79496992892291","0.028203125","37.890304709141276"
"Uniform","OddEven","ACO","0.03","0.4","0.032","OddEven+ACO(0.4, 0.032)","1000","0.577522669","0.028578125","37.80153089119737","0.028203125","37.89695290858726"
"Uniform","OddEven","ACO","0.03","0.5","0.0005","OddEven+ACO(0.5, 0.0005)","1000","0.636041229","0.028578125","37.80207763805358","0.028203125","37.89750692520776"
"Uniform","OddEven","ACO","0.03","0.5","0.002","OddEven+ACO(0.5, 0.002)","1000","0.629995965","0.028578125","37.79825041006014","0.028203125","37.893628808864264"
"Uniform","OddEven","ACO","0.03","0.5","0.008","OddEven+ACO(0.5, 0.008)","1000","0.624961426","0.028578125","37.79989065062876","0.028203125","37.895290858725765"
"Uniform","OddEven","ACO","0.03","0.5","0.032","OddEven+ACO(0.5, 0.032)","1000","0.553832252","0.028578125","37.79004920721706","0.028203125","37.88531855955679"
"Uniform","OddEven","ACO","0.03","0.6","0.0005","OddEven+ACO(0.6, 0.0005)","1000","0.557343222","0.028578125","37.80043739748496","0.028203125","37.89584487534626"
"Uniform","OddEven","ACO","0.03","0.6","0.002","OddEven+ACO(0.6, 0.002)","1000","0.539169222","0.028578125","37.805358119190814","0.028203125","37.900831024930746"
"Uniform","OddEven","ACO","0.03","0.6","0.008","OddEven+ACO(0.6, 0.008)","1000","0.596097865","0.028578125","37.80699835975943","0.028203125","37.90249307479225"
"Uniform","OddEven","ACO","0.03","0.6","0.032","OddEven+ACO(0.6, 0.032)","1000","0.543237533","0.028578125","37.805358119190814","0.028203125","37.900831024930746"
"Uniform","OddEven","ACO","0.03","0.7","0.0005","OddEven+ACO(0.7, 0.0005)","1000","0.612550958","0.028578125","37.78184800437398","0.028203125","37.87700831024931"
"Uniform","OddEven","ACO","0.03","0.7","0.002","OddEven+ACO(0.7, 0.002)","1000","0.838871098","0.028578125","37.7938764352105","0.028203125","37.88975069252078"
"Uniform","OddEven","ACO","0.03","0.7","0.008","OddEven+ACO(0.7, 0.008)","1000","0.593034768","0.028578125","37.80317113176599","0.028203125","37.89861495844875"
